id,age,income,city,signup_date,notes,churned
103,24,156641.47,Bangalore,2022-04-13,customer feedback text goes here number 102 with several words,0
104,22,10359.26,Bangalore,2022-04-14,customer feedback text goes here number 103 with several words,1
105,65,117162.0,Pune,2022-04-15,customer feedback text goes here number 104 with several words,0
106,70,39241.85,Delhi,2022-04-16,customer feedback text goes here number 105 with several words,1
107,21,30524.14,Pune,2022-04-17,customer feedback text goes here number 106 with several words,0
108,30,106871.08,Mumbai,2022-04-18,customer feedback text goes here number 107 with several words,0
109,54,30680.21,Delhi,2022-04-19,customer feedback text goes here number 108 with several words,0
110,70,64398.1,Pune,2022-04-20,customer feedback text goes here number 109 with several words,0
111,58,25460.12,Delhi,2022-04-21,customer feedback text goes here number 110 with several words,0
112,32,117193.48,Pune,2022-04-22,customer feedback text goes here number 111 with several words,0
113,33,58563.18,Mumbai,2022-04-23,customer feedback text goes here number 112 with several words,1
114,38,60135.69,Bangalore,2022-04-24,customer feedback text goes here number 113 with several words,0
115,53,19854.05,Delhi,2022-04-25,customer feedback text goes here number 114 with several words,1
116,76,70689.17,Mumbai,2022-04-26,customer feedback text goes here number 115 with several words,0
117,41,50538.46,Mumbai,2022-04-27,customer feedback text goes here number 116 with several words,1
118,33,13723.18,Bangalore,2022-04-28,customer feedback text goes here number 117 with several words,1
119,31,8749.75,Bangalore,2022-04-29,customer feedback text goes here number 118 with several words,1
120,71,,Bangalore,2022-04-30,customer feedback text goes here number 119 with several words,0
121,39,159912.75,Delhi,2022-05-01,customer feedback text goes here number 120 with several words,1
122,66,30637.27,Bangalore,2022-05-02,customer feedback text goes here number 121 with several words,0
123,67,44700.07,Delhi,2022-05-03,customer feedback text goes here number 122 with several words,0
124,23,97498.85,Bangalore,2022-05-04,customer feedback text goes here number 123 with several words,1
125,59,30552.88,Pune,2022-05-05,customer feedback text goes here number 124 with several words,0
126,53,151697.13,Pune,2022-05-06,customer feedback text goes here number 125 with several words,0
127,18,42871.76,Mumbai,2022-05-07,customer feedback text goes here number 126 with several words,0
128,49,85953.47,Pune,2022-05-08,customer feedback text goes here number 127 with several words,0
129,23,119758.99,Bangalore,2022-05-09,customer feedback text goes here number 128 with several words,0
130,48,84511.75,Delhi,2022-05-10,customer feedback text goes here number 129 with several words,0
131,18,8682.83,Delhi,2022-05-11,customer feedback text goes here number 130 with several words,1
132,67,49563.98,Bangalore,2022-05-12,customer feedback text goes here number 131 with several words,0
133,68,25410.97,Delhi,2022-05-13,customer feedback text goes here number 132 with several words,0
134,54,3238.28,Mumbai,2022-05-14,customer feedback text goes here number 133 with several words,0
135,52,27585.18,Pune,2022-05-15,customer feedback text goes here number 134 with several words,1
136,66,14966.42,Bangalore,2022-05-16,customer feedback text goes here number 135 with several words,1
137,47,94536.46,Pune,2022-05-17,customer feedback text goes here number 136 with several words,0
138,21,1693.59,Pune,2022-05-18,customer feedback text goes here number 137 with several words,1
139,52,159688.09,Bangalore,2022-05-19,customer feedback text goes here number 138 with several words,0
140,60,21953.85,Bangalore,2022-05-20,customer feedback text goes here number 139 with several words,0
141,31,22057.74,Pune,2022-05-21,customer feedback text goes here number 140 with several words,1
142,66,823.16,Bangalore,2022-05-22,customer feedback text goes here number 141 with several words,1
143,57,,Pune,2022-05-23,customer feedback text goes here number 142 with several words,0
144,39,25646.35,Pune,2022-05-24,customer feedback text goes here number 143 with several words,1
145,27,132459.42,Pune,2022-05-25,customer feedback text goes here number 144 with several words,0
146,18,5246.64,Bangalore,2022-05-26,customer feedback text goes here number 145 with several words,1
147,28,,Bangalore,2022-05-27,customer feedback text goes here number 146 with several words,0
148,68,101814.71,Mumbai,2022-05-28,customer feedback text goes here number 147 with several words,0
149,61,30271.69,Pune,2022-05-29,customer feedback text goes here number 148 with several words,1
150,76,19778.28,Pune,2022-05-30,customer feedback text goes here number 149 with several words,0
151,41,13246.75,Pune,2022-05-31,customer feedback text goes here number 150 with several words,1
152,77,47656.13,Mumbai,2022-06-01,customer feedback text goes here number 151 with several words,0
153,20,1681.7,Pune,2022-06-02,customer feedback text goes here number 152 with several words,1
154,75,786.46,Mumbai,2022-06-03,customer feedback text goes here number 153 with several words,0
155,52,28000.42,Mumbai,2022-06-04,customer feedback text goes here number 154 with several words,0
156,53,3525.1,Bangalore,2022-06-05,customer feedback text goes here number 155 with several words,1
157,48,14513.67,Mumbai,2022-06-06,customer feedback text goes here number 156 with several words,1
158,77,12497.54,Bangalore,2022-06-07,customer feedback text goes here number 157 with several words,0
159,21,14597.3,Delhi,2022-06-08,customer feedback text goes here number 158 with several words,0
160,36,7023.79,Pune,2022-06-09,customer feedback text goes here number 159 with several words,0
161,64,605.46,Delhi,2022-06-10,customer feedback text goes here number 160 with several words,0
162,53,6135.75,Pune,2022-06-11,customer feedback text goes here number 161 with several words,1
163,38,48179.63,Mumbai,2022-06-12,customer feedback text goes here number 162 with several words,0
164,35,182978.1,Bangalore,2022-06-13,customer feedback text goes here number 163 with several words,0
165,68,232013.98,Mumbai,2022-06-14,customer feedback text goes here number 164 with several words,0
166,45,26301.54,Pune,2022-06-15,customer feedback text goes here number 165 with several words,1
167,32,8893.84,Pune,2022-06-16,customer feedback text goes here number 166 with several words,1
168,59,50910.88,Mumbai,2022-06-17,customer feedback text goes here number 167 with several words,0
169,76,,Pune,2022-06-18,customer feedback text goes here number 168 with several words,1
170,19,227391.2,Pune,2022-06-19,customer feedback text goes here number 169 with several words,0
171,54,3376.71,Delhi,2022-06-20,customer feedback text goes here number 170 with several words,1
172,28,76446.94,Mumbai,2022-06-21,customer feedback text goes here number 171 with several words,0
173,40,17011.86,Delhi,2022-06-22,customer feedback text goes here number 172 with several words,1
174,61,13815.26,Mumbai,2022-06-23,customer feedback text goes here number 173 with several words,0
175,58,54310.17,Delhi,2022-06-24,customer feedback text goes here number 174 with several words,1
176,29,14122.34,Bangalore,2022-06-25,customer feedback text goes here number 175 with several words,1
177,20,54809.63,Pune,2022-06-26,customer feedback text goes here number 176 with several words,1
178,69,36418.88,Pune,2022-06-27,customer feedback text goes here number 177 with several words,1
179,34,27590.11,Mumbai,2022-06-28,customer feedback text goes here number 178 with several words,0
180,50,40448.98,Mumbai,2022-06-29,customer feedback text goes here number 179 with several words,1
181,72,16917.31,Mumbai,2022-06-30,customer feedback text goes here number 180 with several words,0
182,18,61306.61,Delhi,2022-07-01,customer feedback text goes here number 181 with several words,0
183,56,26794.94,Mumbai,2022-07-02,customer feedback text goes here number 182 with several words,0
184,37,22357.0,Pune,2022-07-03,customer feedback text goes here number 183 with several words,0
185,64,88204.37,Mumbai,2022-07-04,customer feedback text goes here number 184 with several words,0
186,60,129491.3,Pune,2022-07-05,customer feedback text goes here number 185 with several words,0
187,69,2354.96,Delhi,2022-07-06,customer feedback text goes here number 186 with several words,1
188,74,13239.11,Pune,2022-07-07,customer feedback text goes here number 187 with several words,1
189,78,21425.38,Bangalore,2022-07-08,customer feedback text goes here number 188 with several words,0
190,58,,Pune,2022-07-09,customer feedback text goes here number 189 with several words,1
191,31,211650.78,Bangalore,2022-07-10,customer feedback text goes here number 190 with several words,0
192,48,173642.79,Delhi,2022-07-11,customer feedback text goes here number 191 with several words,0
193,42,117666.74,Pune,2022-07-12,customer feedback text goes here number 192 with several words,1
194,79,17588.37,Delhi,2022-07-13,customer feedback text goes here number 193 with several words,0
195,20,241486.01,Delhi,2022-07-14,customer feedback text goes here number 194 with several words,0
196,21,14345.45,Bangalore,2022-07-15,customer feedback text goes here number 195 with several words,1
197,48,5597.23,Delhi,2022-07-16,customer feedback text goes here number 196 with several words,1
198,52,150748.42,Pune,2022-07-17,customer feedback text goes here number 197 with several words,0
199,61,13290.83,Bangalore,2022-07-18,customer feedback text goes here number 198 with several words,1
200,31,58521.79,Delhi,2022-07-19,customer feedback text goes here number 199 with several words,1
201,66,3006.42,Mumbai,2022-07-20,customer feedback text goes here number 200 with several words,0
202,58,65598.15,Bangalore,2022-07-21,customer feedback text goes here number 201 with several words,0
203,26,106735.12,Pune,2022-07-22,customer feedback text goes here number 202 with several words,0
204,37,15902.73,Pune,2022-07-23,customer feedback text goes here number 203 with several words,1
205,49,23825.79,Mumbai,2022-07-24,customer feedback text goes here number 204 with several words,0
206,26,23443.91,Bangalore,2022-07-25,customer feedback text goes here number 205 with several words,0
207,44,69072.96,Mumbai,2022-07-26,customer feedback text goes here number 206 with several words,0
208,20,13577.79,Bangalore,2022-07-27,customer feedback text goes here number 207 with several words,1
209,74,9428.24,Bangalore,2022-07-28,customer feedback text goes here number 208 with several words,0
210,70,29827.5,Mumbai,2022-07-29,customer feedback text goes here number 209 with several words,0
211,21,18153.94,Mumbai,2022-07-30,customer feedback text goes here number 210 with several words,0
212,62,91376.31,Bangalore,2022-07-31,customer feedback text goes here number 211 with several words,1
213,79,13573.5,Delhi,2022-08-01,customer feedback text goes here number 212 with several words,0
214,32,34896.88,Bangalore,2022-08-02,customer feedback text goes here number 213 with several words,1
215,50,142871.26,Pune,2022-08-03,customer feedback text goes here number 214 with several words,0
216,22,50255.78,Pune,2022-08-04,customer feedback text goes here number 215 with several words,0
217,21,100979.23,Mumbai,2022-08-05,customer feedback text goes here number 216 with several words,1
218,63,140845.58,Bangalore,2022-08-06,customer feedback text goes here number 217 with several words,0
219,29,69467.92,Delhi,2022-08-07,customer feedback text goes here number 218 with several words,0
220,78,60127.87,Delhi,2022-08-08,customer feedback text goes here number 219 with several words,0
221,40,172047.2,Mumbai,2022-08-09,customer feedback text goes here number 220 with several words,0
222,31,259256.48,Mumbai,2022-08-10,customer feedback text goes here number 221 with several words,0
223,75,30057.73,Mumbai,2022-08-11,customer feedback text goes here number 222 with several words,0
224,63,3675.32,Mumbai,2022-08-12,customer feedback text goes here number 223 with several words,1
225,29,17321.67,Delhi,2022-08-13,customer feedback text goes here number 224 with several words,1
226,74,8264.65,Pune,2022-08-14,customer feedback text goes here number 225 with several words,1
227,34,27020.14,Delhi,2022-08-15,customer feedback text goes here number 226 with several words,1
228,42,7037.26,Pune,2022-08-16,customer feedback text goes here number 227 with several words,1
229,47,46331.93,Pune,2022-08-17,customer feedback text goes here number 228 with several words,1
230,39,24128.76,Pune,2022-08-18,customer feedback text goes here number 229 with several words,0
231,64,112873.84,Delhi,2022-08-19,customer feedback text goes here number 230 with several words,0
232,43,171781.17,Bangalore,2022-08-20,customer feedback text goes here number 231 with several words,0
233,34,39580.46,Mumbai,2022-08-21,customer feedback text goes here number 232 with several words,1
234,78,16067.02,Mumbai,2022-08-22,customer feedback text goes here number 233 with several words,1
235,75,44852.65,Bangalore,2022-08-23,customer feedback text goes here number 234 with several words,1
236,72,113535.51,Delhi,2022-08-24,customer feedback text goes here number 235 with several words,0
237,71,26105.57,Delhi,2022-08-25,customer feedback text goes here number 236 with several words,1
238,79,40156.84,Bangalore,2022-08-26,customer feedback text goes here number 237 with several words,0
239,37,15848.87,Pune,2022-08-27,customer feedback text goes here number 238 with several words,0
240,51,30389.24,Delhi,2022-08-28,customer feedback text goes here number 239 with several words,1
241,58,25684.28,Pune,2022-08-29,customer feedback text goes here number 240 with several words,0
242,50,14278.45,Delhi,2022-08-30,customer feedback text goes here number 241 with several words,0
243,54,35247.47,Bangalore,2022-08-31,customer feedback text goes here number 242 with several words,1
244,77,18580.79,Mumbai,2022-09-01,customer feedback text goes here number 243 with several words,1
245,77,23343.22,Mumbai,2022-09-02,customer feedback text goes here number 244 with several words,1
246,75,37218.91,Mumbai,2022-09-03,customer feedback text goes here number 245 with several words,1
247,24,69433.86,Delhi,2022-09-04,customer feedback text goes here number 246 with several words,0
248,39,20286.32,Bangalore,2022-09-05,customer feedback text goes here number 247 with several words,1
249,49,128955.66,Pune,2022-09-06,customer feedback text goes here number 248 with several words,0
250,31,,Mumbai,2022-09-07,customer feedback text goes here number 249 with several words,1
251,25,2495.78,Pune,2022-09-08,customer feedback text goes here number 250 with several words,1
252,74,14627.53,Mumbai,2022-09-09,customer feedback text goes here number 251 with several words,1
253,42,29541.76,Pune,2022-09-10,customer feedback text goes here number 252 with several words,1
254,33,5525.79,Delhi,2022-09-11,customer feedback text goes here number 253 with several words,0
255,59,21422.05,Delhi,2022-09-12,customer feedback text goes here number 254 with several words,0
256,36,67372.44,Pune,2022-09-13,customer feedback text goes here number 255 with several words,1
257,58,57052.17,Delhi,2022-09-14,customer feedback text goes here number 256 with several words,0
258,72,48693.93,Pune,2022-09-15,customer feedback text goes here number 257 with several words,0
259,33,61984.9,Delhi,2022-09-16,customer feedback text goes here number 258 with several words,1
260,29,11465.86,Delhi,2022-09-17,customer feedback text goes here number 259 with several words,1
261,56,20904.58,Pune,2022-09-18,customer feedback text goes here number 260 with several words,1
262,65,56388.02,Mumbai,2022-09-19,customer feedback text goes here number 261 with several words,1
263,47,105695.34,Mumbai,2022-09-20,customer feedback text goes here number 262 with several words,0
264,75,39227.83,Bangalore,2022-09-21,customer feedback text goes here number 263 with several words,1
265,19,16613.03,Bangalore,2022-09-22,customer feedback text goes here number 264 with several words,1
266,49,1535.09,Mumbai,2022-09-23,customer feedback text goes here number 265 with several words,1
267,72,61951.83,Pune,2022-09-24,customer feedback text goes here number 266 with several words,0
268,62,395.77,Bangalore,2022-09-25,customer feedback text goes here number 267 with several words,1
269,42,23314.85,Mumbai,2022-09-26,customer feedback text goes here number 268 with several words,0
270,79,37808.31,Delhi,2022-09-27,customer feedback text goes here number 269 with several words,0
271,42,127623.82,Mumbai,2022-09-28,customer feedback text goes here number 270 with several words,0
272,21,4687.77,Bangalore,2022-09-29,customer feedback text goes here number 271 with several words,1
273,36,26038.94,Delhi,2022-09-30,customer feedback text goes here number 272 with several words,1
274,65,1230.68,Mumbai,2022-10-01,customer feedback text goes here number 273 with several words,1
275,21,20973.97,Mumbai,2022-10-02,customer feedback text goes here number 274 with several words,0
276,60,48673.63,Pune,2022-10-03,customer feedback text goes here number 275 with several words,0
277,30,16360.52,Delhi,2022-10-04,customer feedback text goes here number 276 with several words,1
278,56,11770.29,Delhi,2022-10-05,customer feedback text goes here number 277 with several words,1
279,53,6148.13,Delhi,2022-10-06,customer feedback text goes here number 278 with several words,1
280,40,43035.74,Mumbai,2022-10-07,customer feedback text goes here number 279 with several words,1
281,79,59416.46,Mumbai,2022-10-08,customer feedback text goes here number 280 with several words,0
282,23,55730.55,Bangalore,2022-10-09,customer feedback text goes here number 281 with several words,0
283,41,148660.41,Pune,2022-10-10,customer feedback text goes here number 282 with several words,0
284,61,135.34,Bangalore,2022-10-11,customer feedback text goes here number 283 with several words,0
285,50,52092.22,Pune,2022-10-12,customer feedback text goes here number 284 with several words,1
286,29,45863.59,Bangalore,2022-10-13,customer feedback text goes here number 285 with several words,1
287,58,44426.44,Pune,2022-10-14,customer feedback text goes here number 286 with several words,1
288,38,164532.45,Bangalore,2022-10-15,customer feedback text goes here number 287 with several words,1
289,28,850.78,Mumbai,2022-10-16,customer feedback text goes here number 288 with several words,1
290,72,,Pune,2022-10-17,customer feedback text goes here number 289 with several words,1
291,61,84014.12,Delhi,2022-10-18,customer feedback text goes here number 290 with several words,0
292,55,35647.82,Pune,2022-10-19,customer feedback text goes here number 291 with several words,0
293,79,20320.64,Bangalore,2022-10-20,customer feedback text goes here number 292 with several words,0
294,46,78232.83,Mumbai,2022-10-21,customer feedback text goes here number 293 with several words,0
295,65,5115.09,Pune,2022-10-22,customer feedback text goes here number 294 with several words,1
296,58,29173.01,Delhi,2022-10-23,customer feedback text goes here number 295 with several words,1
297,20,36693.5,Delhi,2022-10-24,customer feedback text goes here number 296 with several words,0
298,45,59201.39,Delhi,2022-10-25,customer feedback text goes here number 297 with several words,0
299,37,4764.22,Mumbai,2022-10-26,customer feedback text goes here number 298 with several words,1
300,43,12922.96,Delhi,2022-10-27,customer feedback text goes here number 299 with several words,1
301,41,26407.2,Pune,2022-10-28,customer feedback text goes here number 300 with several words,1
302,71,48814.6,Bangalore,2022-10-29,customer feedback text goes here number 301 with several words,0
303,69,109001.02,Bangalore,2022-10-30,customer feedback text goes here number 302 with several words,0
304,64,48224.99,Pune,2022-10-31,customer feedback text goes here number 303 with several words,0
305,38,,Bangalore,2022-11-01,customer feedback text goes here number 304 with several words,0
306,71,,Delhi,2022-11-02,customer feedback text goes here number 305 with several words,0
307,47,102702.62,Mumbai,2022-11-03,customer feedback text goes here number 306 with several words,0
308,21,34930.18,Bangalore,2022-11-04,customer feedback text goes here number 307 with several words,1
309,53,127775.89,Delhi,2022-11-05,customer feedback text goes here number 308 with several words,0
310,57,38976.75,Bangalore,2022-11-06,customer feedback text goes here number 309 with several words,0
311,27,,Pune,2022-11-07,customer feedback text goes here number 310 with several words,0
312,27,88567.67,Pune,2022-11-08,customer feedback text goes here number 311 with several words,0
313,59,172550.5,Bangalore,2022-11-09,customer feedback text goes here number 312 with several words,0
314,41,126150.87,Bangalore,2022-11-10,customer feedback text goes here number 313 with several words,0
315,21,1834.95,Delhi,2022-11-11,customer feedback text goes here number 314 with several words,1
316,64,9604.78,Bangalore,2022-11-12,customer feedback text goes here number 315 with several words,1
317,44,24643.94,Mumbai,2022-11-13,customer feedback text goes here number 316 with several words,1
318,68,151976.58,Bangalore,2022-11-14,customer feedback text goes here number 317 with several words,0
319,62,17835.81,Pune,2022-11-15,customer feedback text goes here number 318 with several words,1
320,21,8745.51,Mumbai,2022-11-16,customer feedback text goes here number 319 with several words,1
321,49,108711.65,Bangalore,2022-11-17,customer feedback text goes here number 320 with several words,0
322,27,29565.14,Delhi,2022-11-18,customer feedback text goes here number 321 with several words,1
323,28,,Bangalore,2022-11-19,customer feedback text goes here number 322 with several words,1
324,45,8731.39,Pune,2022-11-20,customer feedback text goes here number 323 with several words,1
325,63,54105.09,Pune,2022-11-21,customer feedback text goes here number 324 with several words,1
326,25,29014.48,Pune,2022-11-22,customer feedback text goes here number 325 with several words,1
327,57,3978.51,Pune,2022-11-23,customer feedback text goes here number 326 with several words,1
328,79,59612.61,Bangalore,2022-11-24,customer feedback text goes here number 327 with several words,1
329,39,14210.99,Pune,2022-11-25,customer feedback text goes here number 328 with several words,1
330,51,2021.08,Pune,2022-11-26,customer feedback text goes here number 329 with several words,1
331,62,3090.81,Delhi,2022-11-27,customer feedback text goes here number 330 with several words,1
332,52,3151.17,Bangalore,2022-11-28,customer feedback text goes here number 331 with several words,1
333,52,119153.41,Pune,2022-11-29,customer feedback text goes here number 332 with several words,0
334,42,67331.36,Pune,2022-11-30,customer feedback text goes here number 333 with several words,1
335,51,114169.7,Delhi,2022-12-01,customer feedback text goes here number 334 with several words,0
336,23,55825.93,Pune,2022-12-02,customer feedback text goes here number 335 with several words,1
337,58,37638.48,Pune,2022-12-03,customer feedback text goes here number 336 with several words,1
338,54,18152.36,Delhi,2022-12-04,customer feedback text goes here number 337 with several words,0
339,18,309795.48,Pune,2022-12-05,customer feedback text goes here number 338 with several words,0
340,29,22485.67,Pune,2022-12-06,customer feedback text goes here number 339 with several words,1
341,52,,Delhi,2022-12-07,customer feedback text goes here number 340 with several words,1
342,23,23760.47,Pune,2022-12-08,customer feedback text goes here number 341 with several words,0
343,71,194432.24,Delhi,2022-12-09,customer feedback text goes here number 342 with several words,0
344,34,9597.9,Pune,2022-12-10,customer feedback text goes here number 343 with several words,1
345,26,19873.95,Bangalore,2022-12-11,customer feedback text goes here number 344 with several words,0
346,79,57026.22,Bangalore,2022-12-12,customer feedback text goes here number 345 with several words,1
347,19,3264.68,Pune,2022-12-13,customer feedback text goes here number 346 with several words,1
348,35,46729.02,Bangalore,2022-12-14,customer feedback text goes here number 347 with several words,0
349,66,32470.54,Bangalore,2022-12-15,customer feedback text goes here number 348 with several words,0
