date,sales,promo_flag
2023-04-03,113.1,0
2023-04-04,114.69,0
2023-04-05,115.04,0
2023-04-06,115.19,1
2023-04-07,115.74,0
2023-04-08,115.2,0
2023-04-09,114.85,0
2023-04-10,114.59,0
2023-04-11,114.46,0
2023-04-12,114.54,0
2023-04-13,115.72,0
2023-04-14,115.52,0
2023-04-15,114.59,0
2023-04-16,116.93,0
2023-04-17,119.65,0
2023-04-18,120.11,0
2023-04-19,118.76,0
2023-04-20,118.5,0
2023-04-21,118.58,0
2023-04-22,117.95,0
2023-04-23,117.55,1
2023-04-24,118.54,1
2023-04-25,118.41,0
2023-04-26,117.65,0
2023-04-27,116.26,0
2023-04-28,118.16,0
2023-04-29,118.55,0
2023-04-30,119.27,0
2023-05-01,121.24,0
2023-05-02,120.92,0
2023-05-03,121.47,0
2023-05-04,122.02,1
2023-05-05,121.15,0
2023-05-06,120.44,1
2023-05-07,121.58,0
2023-05-08,121.34,0
2023-05-09,122.07,0
2023-05-10,121.98,0
2023-05-11,123.22,0
2023-05-12,121.69,0
2023-05-13,121.64,0
2023-05-14,121.04,0
2023-05-15,121.44,0
2023-05-16,119.39,0
2023-05-17,118.74,0
2023-05-18,118.37,1
2023-05-19,119.6,0
2023-05-20,120.74,0
2023-05-21,121.26,0
2023-05-22,121.73,0
2023-05-23,120.57,0
2023-05-24,121.14,1
2023-05-25,120.61,1
2023-05-26,119.04,0
2023-05-27,117.59,1
2023-05-28,120.29,0
2023-05-29,121.52,0
2023-05-30,121.4,1
2023-05-31,121.61,1
2023-06-01,121.85,1
2023-06-02,122.04,0
2023-06-03,123.05,0
2023-06-04,123.15,0
2023-06-05,123.58,0
2023-06-06,121.96,0
2023-06-07,122.89,0
2023-06-08,122.55,0
2023-06-09,122.69,1
2023-06-10,121.65,0
2023-06-11,122.15,0
2023-06-12,121.79,0
2023-06-13,121.67,0
2023-06-14,120.47,0
2023-06-15,120.5,0
2023-06-16,121.19,0
2023-06-17,121.22,1
2023-06-18,120.93,0
2023-06-19,121.93,0
2023-06-20,122.89,0
2023-06-21,122.1,1
2023-06-22,121.3,0
2023-06-23,120.46,0
2023-06-24,122.52,0
2023-06-25,120.78,0
2023-06-26,121.6,1
2023-06-27,122.26,0
2023-06-28,120.94,0
2023-06-29,120.72,0
2023-06-30,120.83,0
2023-07-01,121.45,1
2023-07-02,121.72,0
2023-07-03,122.68,0
2023-07-04,121.83,0
2023-07-05,120.8,0
2023-07-06,121.35,0
2023-07-07,121.39,0
2023-07-08,121.44,0
2023-07-09,120.08,0
2023-07-10,121.27,0
2023-07-11,120.58,0
2023-07-12,120.25,0
2023-07-13,121.58,0
2023-07-14,120.94,0
2023-07-15,120.1,1
2023-07-16,121.08,0
2023-07-17,121.34,0
2023-07-18,122.47,0
2023-07-19,123.32,0
2023-07-20,123.27,1
2023-07-21,123.55,0
2023-07-22,125.53,0
2023-07-23,125.88,0
2023-07-24,123.98,1
2023-07-25,124.1,0
2023-07-26,123.79,0
2023-07-27,123.21,1
2023-07-28,123.87,0
2023-07-29,125.12,1
2023-07-30,125.2,0
2023-07-31,126.62,0
2023-08-01,127.24,0
2023-08-02,125.94,0
2023-08-03,125.77,0
2023-08-04,126.64,0
2023-08-05,128.22,0
2023-08-06,127.73,0
2023-08-07,127.22,1
2023-08-08,126.26,0
2023-08-09,126.23,0
2023-08-10,124.57,0
2023-08-11,124.87,0
2023-08-12,125.14,0
2023-08-13,123.7,0
2023-08-14,124.23,1
2023-08-15,124.82,0
2023-08-16,124.06,0
2023-08-17,124.3,1
2023-08-18,122.73,0
2023-08-19,121.91,0
2023-08-20,122.66,0
2023-08-21,122.76,0
2023-08-22,122.66,0
2023-08-23,122.44,0
2023-08-24,122.13,0
2023-08-25,122.16,0
2023-08-26,122.09,0
2023-08-27,121.63,0
2023-08-28,120.19,0
2023-08-29,119.85,0
2023-08-30,118.86,0
2023-08-31,117.95,0
2023-09-01,115.41,0
2023-09-02,114.5,0
2023-09-03,114.33,0
2023-09-04,113.83,1
2023-09-05,114.2,0
2023-09-06,112.58,0
2023-09-07,112.04,0
2023-09-08,113.09,0
2023-09-09,111.88,0
2023-09-10,110.5,1
2023-09-11,110.58,0
2023-09-12,108.5,0
2023-09-13,108.1,0
2023-09-14,107.11,0
2023-09-15,107.85,0
2023-09-16,107.94,0
2023-09-17,109.15,0
2023-09-18,107.47,0
2023-09-19,107.47,0
2023-09-20,107.35,0
2023-09-21,106.0,0
2023-09-22,106.89,0
2023-09-23,106.25,1
2023-09-24,105.01,0
2023-09-25,105.93,0
2023-09-26,105.18,1
2023-09-27,103.43,0
2023-09-28,104.97,0
2023-09-29,105.69,1
2023-09-30,106.12,1
2023-10-01,106.96,0
2023-10-02,106.26,0
2023-10-03,107.28,0
2023-10-04,107.98,0
2023-10-05,107.62,0
2023-10-06,107.95,0
2023-10-07,107.04,0
2023-10-08,107.84,0
2023-10-09,107.3,0
2023-10-10,108.66,0
2023-10-11,107.87,0
2023-10-12,107.78,0
2023-10-13,106.39,0
2023-10-14,105.97,0
2023-10-15,107.23,0
2023-10-16,107.67,0
2023-10-17,106.67,0
2023-10-18,105.84,0
2023-10-19,106.79,0
2023-10-20,107.71,0
2023-10-21,107.6,0
2023-10-22,107.99,0
2023-10-23,108.69,1
2023-10-24,109.93,0
2023-10-25,110.28,0
2023-10-26,111.51,0
2023-10-27,109.46,0
