account_id,account_age_days,n_transactions,avg_amount,region,device_type,prior_disputes,is_fraud
A00058,2851,41,47.14,north,mobile,0,0
A00059,1961,37,31.21,south,mobile,0,0
A00060,2525,33,14.23,south,mobile,0,0
A00061,2074,40,19.54,north,mobile,0,0
A00062,2120,43,248.22,south,mobile,0,0
A00063,1185,45,50.85,south,web,0,0
A00064,2629,48,18.73,north,mobile,0,0
A00065,431,33,24.2,north,web,1,0
A00066,1749,40,119.83,west,mobile,0,0
A00067,2172,35,23.28,north,web,0,0
A00068,2541,49,31.1,north,mobile,1,0
A00069,1590,41,19.99,west,web,0,0
A00070,1144,45,17.58,west,mobile,0,0
A00071,951,37,240.85,north,mobile,0,0
A00072,1286,42,48.1,north,mobile,0,0
A00073,1472,40,40.88,south,api,3,0
A00074,2164,37,31.78,south,mobile,0,0
A00075,2671,44,103.67,west,mobile,1,0
A00076,246,49,57.7,north,mobile,1,0
A00077,2804,44,71.03,east,mobile,0,0
A00078,1608,43,61.76,north,web,0,0
A00079,1092,34,39.58,north,mobile,0,0
A00080,2028,32,35.42,north,mobile,1,0
A00081,1727,42,11.46,north,mobile,0,0
A00082,786,47,35.07,east,mobile,0,0
A00083,985,39,382.68,north,web,0,0
A00084,2166,35,17.89,south,mobile,0,0
A00085,1795,35,54.81,north,mobile,0,0
A00086,1528,52,73.86,east,web,0,0
A00087,1033,39,159.91,east,mobile,1,0
A00088,2289,44,597.32,north,web,0,0
A00089,1193,30,38.2,north,web,0,0
A00090,1004,46,24.79,south,mobile,0,0
A00091,2674,43,141.76,south,mobile,0,0
A00092,813,30,66.14,north,web,1,0
A00093,704,52,332.2,south,web,0,0
A00094,2151,50,104.88,west,mobile,0,0
A00095,1880,46,29.91,south,web,0,0
A00096,174,45,45.74,north,mobile,0,0
A00097,279,50,79.9,south,web,2,1
A00098,1150,44,85.68,south,mobile,1,0
A00099,2502,45,19.67,north,mobile,0,0
A00100,1220,32,9.66,east,web,0,0
A00101,2367,39,12.89,south,mobile,0,0
A00102,969,32,95.15,east,mobile,0,0
A00103,740,43,47.56,south,web,2,0
A00104,2381,45,10.47,south,web,0,0
A00105,2633,33,33.26,north,mobile,0,0
A00106,265,44,9.55,west,web,1,0
A00107,203,33,43.08,north,mobile,0,0
A00108,2023,46,25.06,north,web,0,0
A00109,1028,45,33.04,south,web,0,0
A00110,1733,51,50.61,west,mobile,0,0
A00111,476,37,64.35,south,mobile,1,0
A00112,2584,36,57.6,north,api,0,0
A00113,1367,41,174.6,east,mobile,0,0
A00114,2688,35,473.87,north,web,1,0
A00115,2395,32,117.54,north,web,1,0
A00116,2124,47,46.03,east,web,0,0
A00117,715,50,107.42,west,web,4,1
A00118,2308,47,28.37,west,mobile,1,0
A00119,184,37,25.96,north,mobile,0,0
A00120,1723,41,24.93,south,mobile,0,0
A00121,1231,48,71.03,north,web,0,0
A00122,2990,30,166.44,north,mobile,1,0
A00123,619,37,404.12,north,mobile,1,1
A00124,2841,60,179.8,east,mobile,1,0
A00125,299,47,102.3,north,mobile,0,0
A00126,1880,33,29.39,west,web,0,0
A00127,1753,39,58.5,south,mobile,0,0
A00128,2699,37,89.04,south,mobile,0,0
A00129,917,58,48.91,east,mobile,0,0
A00130,2709,55,291.95,east,web,0,0
A00131,2025,29,26.1,west,web,0,0
A00132,2674,44,28.71,north,web,0,0
A00133,622,42,76.86,south,web,2,1
A00134,2281,38,332.33,south,mobile,0,0
A00135,2828,45,10.68,north,mobile,0,0
A00136,174,33,25.5,east,mobile,0,0
A00137,1114,50,174.01,south,web,0,0
A00138,1920,33,29.63,south,api,1,0
A00139,343,40,348.34,west,web,0,1
A00140,1544,44,26.07,east,mobile,0,0
A00141,1898,46,143.32,east,api,1,0
A00142,2299,48,50.43,north,mobile,0,0
A00143,2783,45,82.57,south,mobile,1,0
A00144,1247,41,21.49,west,web,0,0
A00145,1337,53,12.86,south,web,0,0
A00146,1438,42,109.73,south,mobile,0,0
A00147,2865,49,33.91,north,mobile,2,0
A00148,611,48,23.88,east,mobile,0,0
A00149,1514,56,20.19,north,mobile,0,0
A00150,178,47,21.32,north,web,2,0
A00151,1292,32,184.55,west,mobile,0,0
A00152,2837,36,23.8,north,web,0,0
A00153,1872,34,33.51,south,mobile,0,0
A00154,1068,49,320.54,north,web,0,0
A00155,2985,41,37.0,south,mobile,0,0
A00156,1823,47,54.32,west,web,0,0
A00157,2848,45,76.01,east,mobile,0,0
A00158,78,34,41.83,east,web,0,0
A00159,1396,36,29.39,north,mobile,0,0
A00160,2509,44,172.6,north,api,0,0
A00161,2280,48,72.81,east,mobile,2,0
A00162,1240,48,30.98,south,mobile,1,0
A00163,1507,36,15.69,east,web,0,0
A00164,1278,33,19.26,south,web,0,0
A00165,1602,40,21.71,south,web,0,0
A00166,713,38,7.84,north,web,0,0
A00167,2363,37,157.05,south,api,0,0
A00168,260,31,59.85,south,web,0,0
A00169,1261,46,88.5,north,mobile,1,0
A00170,867,37,15.23,south,web,1,0
A00171,2211,38,35.28,south,api,0,0
A00172,2255,43,43.99,north,mobile,0,0
A00173,2142,43,58.44,east,web,0,0
A00174,2775,32,45.35,south,mobile,0,0
A00175,2798,38,17.81,south,web,0,0
A00176,578,53,145.86,south,mobile,1,0
A00177,371,36,103.47,south,mobile,0,0
A00178,423,54,58.4,north,web,0,0
A00179,2195,40,138.24,north,web,0,0
A00180,2911,30,161.95,east,web,0,0
A00181,2784,45,191.43,north,mobile,0,0
A00182,2014,35,63.23,north,mobile,0,0
A00183,2904,49,41.13,south,mobile,0,0
A00184,2617,35,35.45,north,mobile,0,0
A00185,73,46,121.77,north,mobile,0,0
A00186,384,39,29.04,east,web,0,0
A00187,2595,42,23.99,west,mobile,1,0
A00188,274,34,89.92,south,web,0,0
A00189,2944,38,87.42,north,web,0,0
A00190,2487,39,96.82,south,mobile,0,0
A00191,2872,40,25.42,east,web,0,0
A00192,1100,42,71.57,north,mobile,0,0
A00193,471,36,124.43,north,mobile,0,0
A00194,1565,44,35.45,north,mobile,1,0
A00195,2918,33,42.89,east,mobile,0,0
A00196,1120,51,41.76,west,mobile,0,0
A00197,2673,35,214.28,east,web,0,0
A00198,1169,34,122.82,south,api,0,0
A00199,2472,35,16.34,east,web,0,0
A00200,711,41,13.89,south,mobile,0,0
A00201,1455,37,98.01,south,mobile,0,0
A00202,1000,51,45.07,south,mobile,0,0
A00203,720,41,88.17,north,mobile,0,0
A00204,2681,46,69.35,west,mobile,1,0
A00205,2411,49,135.46,east,mobile,0,0
A00206,444,43,12.64,north,mobile,0,0
A00207,2772,43,33.35,south,mobile,0,0
A00208,2913,35,68.44,north,mobile,0,0
A00209,820,41,67.43,north,mobile,1,0
A00210,1296,42,23.26,north,mobile,0,0
A00211,1630,40,33.97,south,mobile,0,0
A00212,1981,48,32.22,north,web,0,0
A00213,1344,36,56.84,east,web,1,0
A00214,471,44,102.57,south,web,0,0
A00215,2795,50,42.61,west,web,0,0
A00216,2085,42,47.57,west,web,0,0
A00217,150,45,8.29,north,web,0,0
A00218,2448,44,21.01,north,mobile,1,0
A00219,2204,42,289.36,south,mobile,0,0
A00220,574,41,11.67,south,mobile,0,0
A00221,1854,38,186.41,north,web,0,0
A00222,1519,41,41.76,east,web,0,0
A00223,114,40,9.33,north,mobile,2,0
A00224,2784,41,202.74,east,mobile,0,0
A00225,2166,34,173.41,south,mobile,0,0
A00226,951,42,34.71,south,api,0,0
A00227,77,54,119.17,east,mobile,0,0
A00228,301,52,39.63,south,mobile,1,0
A00229,2281,46,57.16,north,mobile,1,0
A00230,473,42,63.41,south,web,0,0
A00231,1552,39,44.35,north,api,0,0
A00232,2699,51,87.53,west,mobile,0,0
A00233,2789,40,77.26,south,mobile,0,0
A00234,825,38,34.1,north,web,0,0
A00235,226,43,71.26,north,mobile,0,0
A00236,1499,38,34.17,north,mobile,0,0
A00237,2528,41,61.59,north,web,0,0
A00238,1885,31,34.91,east,mobile,0,0
A00239,228,39,59.59,north,mobile,1,0
A00240,1961,37,230.58,south,mobile,1,0
A00241,1052,42,30.31,west,web,2,0
A00242,701,44,14.63,north,mobile,0,0
A00243,1307,34,229.23,west,api,0,0
A00244,2623,44,71.04,north,web,1,0
A00245,2899,44,30.4,west,mobile,1,0
A00246,448,30,43.61,east,mobile,0,0
A00247,1699,49,23.99,east,web,0,0
A00248,2291,42,126.98,south,mobile,0,0
A00249,798,43,103.75,north,web,0,0
A00250,839,46,96.13,south,api,0,0
A00251,747,44,66.57,south,mobile,0,0
A00252,652,41,8.63,west,mobile,1,0
A00253,2667,38,18.76,north,web,0,0
A00254,679,58,70.52,south,mobile,0,0
A00255,700,46,5.01,north,web,1,0
A00256,402,48,50.84,south,mobile,0,0
A00257,399,32,21.7,north,mobile,0,0
A00258,2342,34,96.54,north,mobile,0,0
A00259,886,43,45.74,north,mobile,0,0
A00260,2411,42,141.6,west,web,1,0
A00261,1770,45,73.99,east,web,1,0
A00262,2579,44,60.48,south,mobile,1,0
A00263,1675,51,22.74,east,mobile,0,0
A00264,2299,49,96.06,south,web,0,0
A00265,2434,37,464.68,south,api,1,1
A00266,211,37,11.71,south,mobile,0,0
A00267,1694,44,21.73,north,web,1,0
A00268,1380,44,244.13,east,mobile,0,0
A00269,886,42,86.54,south,mobile,1,1
A00270,1373,42,41.83,east,api,0,0
A00271,1256,30,110.36,south,mobile,0,0
A00272,1490,34,73.64,east,mobile,0,0
A00273,2459,41,30.35,south,web,0,0
A00274,2481,43,29.92,north,mobile,1,0
A00275,1890,37,117.89,south,mobile,1,0
A00276,2139,27,74.36,west,web,0,0
A00277,2878,29,144.01,north,web,0,0
A00278,1921,42,98.34,north,mobile,0,0
A00279,1127,30,31.42,east,web,0,0
A00280,273,33,215.23,south,mobile,0,1
A00281,1671,45,23.79,south,mobile,0,0
A00282,717,39,36.31,south,mobile,0,0
A00283,1793,33,26.99,south,mobile,1,0
A00284,106,41,15.47,east,mobile,0,0
A00285,2549,41,95.62,south,web,0,0
A00286,2835,50,21.17,south,web,0,0
A00287,462,39,29.49,north,web,1,0
A00288,2462,37,127.55,west,mobile,1,0
A00289,1237,47,118.95,east,mobile,0,0
A00290,153,25,31.21,north,api,0,0
A00291,2732,31,16.82,north,mobile,0,0
A00292,2824,44,49.71,south,mobile,0,0
A00293,157,44,12.96,north,web,0,0
A00294,1792,32,21.99,south,api,2,0
A00295,2473,41,38.51,south,mobile,0,0
A00296,2375,36,47.36,south,web,0,0
A00297,1263,40,33.13,south,mobile,0,0
A00298,2583,32,47.9,west,web,1,0
A00299,2494,49,189.4,north,web,2,0
A00300,366,47,96.01,south,mobile,1,0
A00301,59,49,188.92,north,mobile,1,1
A00302,333,48,122.29,east,mobile,0,0
A00303,1114,49,67.27,south,mobile,0,0
A00304,355,46,18.31,west,web,0,0
A00305,263,35,16.4,east,mobile,0,0
A00306,798,43,53.6,south,api,0,0
A00307,1968,38,37.8,south,mobile,0,0
A00308,1586,40,23.54,south,mobile,0,0
A00309,843,38,78.94,north,mobile,0,0
A00310,2852,40,164.3,south,api,0,0
A00311,2116,37,51.35,south,web,2,0
A00312,1914,37,58.98,east,mobile,0,0
A00313,2833,36,33.37,west,web,0,0
A00314,2363,38,29.4,north,mobile,0,0
A00315,406,32,322.56,east,api,0,1
A00316,139,31,17.62,south,api,0,0
A00317,2598,47,47.22,north,mobile,0,0
A00318,1241,28,36.51,west,mobile,1,0
A00319,206,33,49.46,north,mobile,1,1
A00320,1445,48,140.01,east,mobile,0,0
A00321,1160,49,133.54,east,web,1,0
A00322,1310,35,48.13,east,mobile,0,0
A00323,1306,34,150.08,north,web,1,0
A00324,963,38,27.39,north,mobile,0,0
A00325,1481,40,75.2,east,mobile,0,0
A00326,1489,39,270.85,north,web,0,0
A00327,2930,45,32.47,west,mobile,0,0
A00328,2087,46,65.67,south,web,0,0
A00329,2333,32,210.34,south,mobile,1,0
A00330,53,38,25.58,south,mobile,0,0
A00331,947,51,57.85,south,mobile,0,0
A00332,2951,43,41.13,south,mobile,0,0
A00333,831,23,19.98,west,web,0,0
A00334,1544,48,78.56,north,api,0,0
A00335,2593,43,25.54,west,mobile,1,0
A00336,1926,39,242.3,north,mobile,1,0
A00337,2647,42,55.62,south,web,1,0
A00338,518,43,45.19,east,mobile,0,0
A00339,1546,34,56.64,east,mobile,2,0
A00340,1917,43,59.89,east,web,1,0
A00341,1052,44,45.64,south,web,0,0
A00342,1735,37,57.48,west,mobile,0,0
A00343,2984,51,32.55,south,mobile,0,0
A00344,2217,38,34.83,north,mobile,0,0
A00345,968,40,87.74,east,mobile,0,0
A00346,219,47,7.98,south,web,0,0
A00347,572,51,26.59,north,mobile,0,0
A00348,837,36,55.02,north,web,0,0
A00349,2643,46,74.3,north,mobile,0,0
A00350,834,36,38.42,south,api,1,0
A00351,2442,48,61.72,north,mobile,2,0
A00352,843,50,39.86,east,mobile,0,0
A00353,2013,43,10.23,south,mobile,0,0
A00354,1594,28,127.28,west,api,0,0
A00355,2876,35,69.49,north,mobile,0,0
A00356,1712,48,23.07,east,web,0,0
A00357,2779,49,205.92,north,mobile,0,0
A00358,2887,41,100.46,north,mobile,0,0
A00359,2252,37,31.09,south,web,0,0
A00360,1896,45,147.81,south,mobile,1,0
A00361,2586,41,88.69,north,mobile,0,0
A00362,2989,47,115.12,south,mobile,0,0
A00363,764,28,31.77,north,api,0,0
A00364,1700,42,33.08,south,web,0,0
A00365,449,44,26.04,south,mobile,1,0
A00366,341,38,33.55,west,mobile,0,0
A00367,2020,57,6.81,east,api,0,0
A00368,171,31,144.81,east,mobile,0,1
A00369,2152,44,18.87,west,mobile,0,0
A00370,2468,45,91.17,south,web,1,0
A00371,526,40,16.97,south,mobile,0,0
A00372,2050,38,60.65,north,mobile,0,0
A00373,1204,42,18.67,south,mobile,1,0
A00374,2683,38,53.63,south,api,1,0
A00375,2733,41,12.94,south,web,0,0
A00376,1745,36,32.05,west,web,1,0
A00377,1697,42,98.86,north,mobile,0,0
A00378,2140,44,66.19,north,mobile,0,0
A00379,1747,39,63.68,south,mobile,0,0
A00380,2245,30,25.21,east,mobile,0,0
A00381,606,35,7.56,east,mobile,0,0
A00382,2353,47,24.44,east,web,1,0
A00383,1592,38,34.47,north,web,3,0
A00384,2263,53,206.71,north,web,1,0
A00385,1584,45,91.16,north,mobile,0,0
A00386,940,41,72.59,west,mobile,0,0
A00387,294,45,32.34,east,mobile,0,0
A00388,1590,42,28.32,south,mobile,0,0
A00389,2946,38,97.18,south,mobile,0,0
A00390,136,45,39.06,north,web,0,0
A00391,1727,47,40.32,east,mobile,0,0
A00392,1357,43,306.76,west,mobile,1,0
A00393,49,32,22.56,north,mobile,0,0
A00394,1644,46,42.37,east,mobile,0,0
A00395,2324,44,43.61,south,web,0,0
A00396,2232,38,30.38,east,web,0,0
A00397,2935,44,15.33,south,mobile,0,0
A00398,1601,42,171.59,south,mobile,0,0
A00399,1781,30,15.31,south,mobile,0,0
A00400,2898,42,24.12,north,web,0,0
A00401,979,46,68.76,north,web,0,0
A00402,2401,42,17.83,north,web,0,0
A00403,586,33,47.45,north,web,0,0
A00404,1104,40,43.34,south,mobile,1,0
A00405,2027,39,44.12,north,mobile,1,0
A00406,1751,38,48.13,north,api,0,0
A00407,609,42,15.37,east,mobile,0,0
A00408,1988,40,33.3,north,mobile,0,0
A00409,1745,36,173.48,south,web,0,0
A00410,2763,27,155.64,north,mobile,0,0
A00411,1818,30,32.37,east,mobile,0,0
A00412,2656,32,144.95,east,mobile,0,0
A00413,2888,36,23.43,north,api,0,0
A00414,290,36,16.0,south,mobile,0,0
A00415,244,43,8.89,south,mobile,1,0
A00416,1522,39,20.05,south,api,0,0
A00417,1514,53,82.59,north,mobile,0,0
A00418,1678,39,40.73,south,mobile,1,0
A00419,2239,36,243.59,east,web,0,0
A00420,966,39,116.22,north,web,0,0
A00421,556,47,39.69,south,mobile,0,0
A00422,2049,42,44.66,east,mobile,1,0
A00423,1182,42,44.96,west,mobile,0,0
A00424,2791,35,134.18,west,web,0,0
A00425,216,41,38.64,west,mobile,0,0
A00426,2136,40,53.89,west,mobile,0,0
A00427,2185,45,28.17,north,mobile,2,0
A00428,834,41,175.72,south,mobile,1,0
A00429,290,36,39.88,north,web,1,1
A00430,975,49,30.5,north,mobile,0,0
A00431,1203,38,13.9,north,mobile,0,0
A00432,2938,51,130.27,west,mobile,1,0
A00433,2624,32,32.06,east,mobile,1,0
A00434,716,40,51.25,south,mobile,0,0
A00435,1432,43,37.74,north,mobile,0,0
A00436,1811,51,46.16,south,web,0,0
A00437,2740,51,9.17,east,web,0,0
A00438,431,30,26.95,south,web,0,0
A00439,2304,49,20.59,north,mobile,0,0
A00440,2777,39,387.83,south,mobile,1,0
A00441,2748,60,183.49,north,mobile,0,0
A00442,852,44,80.99,north,mobile,0,0
A00443,408,41,511.88,west,web,0,1
A00444,1793,44,172.36,east,mobile,0,0
A00445,248,43,16.28,north,mobile,1,0
A00446,416,38,17.17,south,mobile,1,0
A00447,238,45,69.48,south,mobile,0,0
A00448,656,53,51.29,east,api,0,0
A00449,2610,37,66.04,south,mobile,1,0
A00450,2027,45,25.99,west,mobile,1,0
A00451,1913,27,287.42,west,mobile,2,0
A00452,2956,60,39.81,west,mobile,0,0
A00453,1504,46,149.64,north,mobile,0,0
A00454,148,49,203.05,north,web,1,1
A00455,515,42,32.24,west,mobile,0,0
A00456,803,40,91.72,west,web,0,0
A00457,2030,44,228.99,west,web,0,0
A00458,1090,37,202.84,north,api,0,1
A00459,974,44,107.4,north,web,1,0
A00460,363,33,81.1,south,web,0,0
A00461,2141,34,58.61,south,mobile,0,0
A00462,102,38,171.04,north,mobile,0,0
A00463,1397,37,92.27,north,web,0,0
A00464,2240,34,61.06,west,web,0,0
A00465,1537,47,35.68,west,mobile,0,0
A00466,2070,49,16.16,north,web,0,0
A00467,2375,40,46.7,north,mobile,0,0
A00468,697,40,292.37,east,web,2,1
A00469,305,37,35.33,north,mobile,0,0
A00470,197,43,30.66,north,web,0,0
A00471,1748,42,43.97,west,mobile,0,0
A00472,814,47,45.08,west,web,0,0
A00473,615,37,33.01,north,web,2,0
A00474,2212,46,97.41,south,mobile,0,0
A00475,2430,47,73.2,south,mobile,1,0
A00476,2864,37,158.31,north,mobile,0,0
A00477,1481,51,93.82,south,mobile,1,0
A00478,1582,39,64.58,north,mobile,0,0
A00479,2966,45,8.23,east,api,0,0
A00480,1526,45,65.2,west,api,0,0
A00481,573,42,30.33,south,web,1,0
A00482,789,31,144.02,north,web,0,0
A00483,2890,44,58.33,south,web,0,0
A00484,158,44,27.49,south,web,0,0
A00485,2408,39,33.48,west,mobile,0,0
A00486,1953,36,18.52,west,mobile,0,0
A00487,1459,37,33.35,south,mobile,1,0
A00488,2505,33,72.51,north,web,0,0
A00489,2446,48,157.74,north,web,0,0
A00490,1336,41,87.17,north,web,0,0
A00491,1820,32,113.15,south,web,0,0
A00492,2298,41,121.75,east,mobile,0,0
A00493,1975,38,40.8,north,web,1,0
A00494,1472,51,201.91,east,mobile,2,0
A00495,2743,36,16.17,north,mobile,1,0
A00496,2651,46,61.01,south,api,1,0
A00497,223,40,34.02,west,mobile,0,0
A00498,1654,51,9.31,north,mobile,1,0
A00499,2509,52,243.01,east,web,0,0
A00500,280,43,9.04,south,mobile,0,0
A00501,1163,40,101.54,west,mobile,0,0
A00502,1540,37,274.2,east,web,0,0
A00503,996,39,45.48,north,mobile,0,0
A00504,2095,42,49.21,north,mobile,1,0
A00505,2982,48,9.89,west,mobile,0,0
A00506,1110,48,43.61,west,api,0,0
A00507,2350,33,201.51,north,web,1,0
A00508,377,49,34.13,north,api,0,0
A00509,1472,38,22.72,east,api,0,0
A00510,45,49,6.79,east,mobile,1,0
A00511,1285,45,173.66,south,mobile,0,0
A00512,71,43,79.09,east,api,1,1
A00513,2636,42,41.6,west,web,0,0
A00514,2909,46,139.56,east,mobile,0,0
A00515,287,43,33.87,south,mobile,0,0
A00516,2459,48,40.42,west,mobile,0,0
A00517,2134,40,369.3,north,web,0,0
A00518,923,41,24.37,north,mobile,1,0
A00519,2373,48,70.9,north,mobile,0,0
A00520,2888,32,66.76,east,mobile,0,0
A00521,2403,41,59.6,north,web,0,0
A00522,2086,44,54.91,south,mobile,0,0
A00523,987,40,16.84,east,web,0,0
A00524,1831,39,48.24,north,web,0,0
A00525,2396,41,43.89,south,mobile,0,0
A00526,2152,49,29.9,north,mobile,0,0
A00527,699,33,25.79,north,mobile,0,0
A00528,1253,34,22.16,south,mobile,0,0
A00529,1106,36,26.35,east,web,0,0
A00530,2093,43,78.9,south,mobile,0,0
A00531,1269,32,56.42,north,web,1,0
A00532,1275,51,242.24,south,mobile,1,0
A00533,1637,40,93.97,south,web,0,0
A00534,1750,38,31.96,south,web,0,0
A00535,364,35,33.61,west,web,0,0
A00536,2777,36,46.73,south,web,0,0
A00537,1238,50,39.84,north,mobile,0,0
A00538,551,50,54.78,north,mobile,0,0
A00539,30,42,313.27,north,mobile,0,0
A00540,1321,46,47.62,south,mobile,1,0
A00541,2240,43,61.49,east,mobile,0,0
A00542,910,38,18.68,south,mobile,0,0
A00543,2560,45,14.15,south,mobile,0,0
A00544,622,40,48.32,west,mobile,0,0
A00545,442,41,37.5,north,web,1,0
A00546,1191,55,65.47,west,mobile,1,0
A00547,2120,30,185.17,south,mobile,0,0
A00548,919,44,34.49,east,mobile,0,0
A00549,2468,52,29.48,east,mobile,0,0
A00550,92,34,131.72,west,mobile,0,0
A00551,2946,40,36.89,north,web,0,0
A00552,169,46,57.5,north,web,0,0
A00553,2536,50,49.64,south,mobile,0,0
A00554,40,41,296.27,north,web,1,1
A00555,1289,36,12.0,south,mobile,1,0
A00556,949,43,26.08,west,web,0,0
A00557,2939,42,98.07,east,mobile,1,0
A00558,1975,45,155.1,north,mobile,0,0
A00559,2922,41,21.62,north,api,0,0
A00560,1261,42,157.74,west,api,0,0
A00561,1525,46,35.73,north,mobile,0,0
A00562,1521,46,28.4,east,mobile,2,0
A00563,2267,49,30.97,west,mobile,0,0
A00564,1542,38,75.07,north,mobile,1,0
A00565,2744,34,84.45,east,web,0,0
A00566,600,47,24.85,east,mobile,0,0
A00567,1444,39,65.72,west,web,0,0
A00568,762,38,38.71,east,mobile,0,0
A00569,2595,37,18.66,east,mobile,1,0
A00570,437,38,250.29,east,web,0,1
A00571,2113,37,22.86,east,api,0,0
A00572,2738,37,59.88,north,mobile,1,0
A00573,902,42,19.14,north,api,0,0
A00574,859,36,37.03,west,mobile,0,0
A00575,2309,39,59.25,east,mobile,0,0
A00576,1786,39,63.13,west,web,0,0
A00577,1724,44,21.73,east,mobile,0,0
A00578,2655,42,49.01,east,api,0,0
A00579,308,36,74.81,south,mobile,1,0
A00580,841,39,207.63,north,mobile,0,0
A00581,1192,54,111.98,south,web,0,0
A00582,2754,39,143.39,west,web,0,0
A00583,249,34,96.52,north,api,0,1
A00584,1374,38,29.95,west,mobile,0,0
A00585,1444,47,40.63,north,web,0,0
A00586,73,53,123.46,east,mobile,0,0
A00587,1302,32,29.41,north,mobile,0,0
A00588,1956,39,19.9,north,web,0,0
A00589,1288,36,52.49,north,web,1,0
A00590,937,29,10.63,south,web,0,0
A00591,1771,37,27.0,west,web,0,0
A00592,2943,37,19.58,north,mobile,0,0
A00593,394,36,37.67,west,web,0,0
A00594,880,47,177.88,south,web,0,0
A00595,2803,34,440.22,north,mobile,0,0
A00596,910,28,93.11,west,mobile,1,0
A00597,2061,39,23.0,east,mobile,1,0
A00598,1073,30,105.42,south,mobile,0,0
A00599,2476,38,79.71,east,web,0,0
A00600,1768,55,31.75,east,web,0,0
A00601,2693,43,120.66,south,mobile,0,0
A00602,1923,39,35.33,south,mobile,0,0
A00603,1762,30,32.41,south,web,0,0
A00604,1481,42,57.49,south,api,0,0
A00605,149,41,101.18,east,mobile,0,0
A00606,388,39,39.19,south,api,0,0
A00607,2143,49,75.17,south,mobile,0,0
A00608,1929,38,10.52,east,mobile,0,0
A00609,1720,26,71.03,north,mobile,0,0
A00610,377,28,35.5,north,mobile,0,0
A00611,2483,44,34.1,south,mobile,0,0
A00612,2394,39,5.62,north,api,0,0
A00613,1610,51,14.82,west,web,0,0
A00614,785,31,11.35,south,api,0,0
A00615,2445,41,94.15,north,api,1,0
A00616,1579,34,23.81,north,web,0,0
A00617,2991,56,69.82,north,web,2,0
A00618,863,40,98.79,south,web,1,0
A00619,1071,38,33.39,north,web,0,0
A00620,2416,43,21.66,west,api,0,0
A00621,537,46,162.3,west,web,0,1
A00622,985,37,69.11,north,mobile,1,0
A00623,1193,37,18.0,north,mobile,0,0
A00624,2186,35,84.13,south,web,0,0
A00625,2266,38,30.04,north,mobile,0,0
A00626,2371,43,82.96,north,mobile,0,0
A00627,1334,31,114.84,north,web,0,0
A00628,1857,48,26.17,south,mobile,1,0
A00629,1777,42,84.99,west,mobile,1,0
A00630,2323,40,3.63,west,mobile,1,0
A00631,408,40,89.34,north,mobile,2,0
A00632,974,34,9.36,south,web,0,0
A00633,2186,41,530.06,east,web,0,0
A00634,629,48,75.09,south,mobile,0,0
