customer_id,home_region,device_fingerprint,measure_a,measure_b,measure_c,converted
C0007,east,-0.8233,1.3258,1.135,-0.7584,0
C0008,east,1.6526,-0.4901,0.3603,-0.3349,0
C0008,east,1.659,-0.5011,-0.5224,-1.0244,0
C0008,east,1.6654,-0.4925,-0.8623,-0.3524,0
C0008,east,1.6518,-0.4852,-1.633,-1.0372,0
C0008,east,1.6503,-0.4669,0.6632,-0.1115,0
C0009,north,-0.6641,-0.5999,-0.4586,-0.3664,0
C0009,north,-0.6591,-0.6155,0.356,-0.5082,0
C0009,north,-0.652,-0.6034,0.2612,0.6843,0
C0009,north,-0.6915,-0.6141,-0.4229,0.4339,0
C0009,north,-0.6644,-0.6239,-1.7696,0.3679,0
C0010,south,-1.0615,0.4865,-0.3481,-0.3416,0
C0010,south,-1.0772,0.502,0.4239,1.1114,0
C0010,south,-1.0343,0.4901,-1.4263,-0.8939,0
C0010,south,-1.0662,0.4848,0.2676,-2.0022,0
C0010,south,-1.0507,0.4747,0.4636,-0.1095,0
C0011,central,0.3342,0.3562,-0.343,-0.6125,0
C0011,central,0.3205,0.3566,1.8037,1.9805,0
C0011,central,0.3505,0.3639,-0.4661,1.4428,0
C0011,central,0.3368,0.3562,-0.1193,0.092,0
C0011,central,0.333,0.356,-0.8334,-0.3737,0
C0012,east,1.4301,0.1047,-0.1726,0.5324,0
C0012,east,1.4144,0.0943,-0.1443,0.9183,0
C0012,east,1.41,0.1066,1.4408,-0.6778,0
C0012,east,1.4081,0.1002,1.3834,-1.9519,0
C0012,east,1.4006,0.1001,0.6394,0.6063,0
C0013,east,-1.4401,-0.9462,0.3032,-0.2933,0
C0013,east,-1.4607,-0.9251,-1.2003,-2.0769,0
C0013,east,-1.4577,-0.9454,-0.9562,0.3716,0
C0013,east,-1.4509,-0.9146,-0.5519,-1.5333,0
C0013,east,-1.4616,-0.9397,-1.4682,0.4354,0
C0014,north,-0.215,-0.049,0.6155,-0.1114,0
C0014,north,-0.205,-0.0282,0.5568,0.038,0
C0014,north,-0.1962,-0.025,0.3412,0.4099,0
C0014,north,-0.2231,-0.0309,-0.2451,0.2075,0
C0014,north,-0.2221,-0.0129,0.0822,-1.2113,0
C0015,south,-0.6491,0.6925,0.1974,-0.7183,1
C0015,south,-0.6311,0.6889,0.7746,-0.7245,1
C0015,south,-0.6324,0.7051,2.5926,-1.0076,1
C0015,south,-0.6367,0.6869,0.984,-1.1481,1
C0015,south,-0.6369,0.695,-0.6027,-0.9573,1
C0016,central,-1.7658,-1.3652,-1.8386,-0.413,1
C0016,central,-1.7595,-1.3461,-2.1343,-0.4638,1
C0016,central,-1.753,-1.3387,-0.6086,-0.8874,1
C0016,central,-1.7547,-1.35,-1.59,-0.8022,1
C0016,central,-1.7465,-1.342,0.5056,-0.4793,1
C0017,east,0.7443,-0.4636,-0.3247,2.4864,0
C0017,east,0.7426,-0.4626,-0.2594,0.3262,0
C0017,east,0.747,-0.4625,-1.7502,-0.2796,0
C0017,east,0.7351,-0.4565,1.002,0.3167,0
C0017,east,0.7431,-0.4686,0.5981,2.0962,0
C0018,north,-0.0157,-1.8987,-0.6219,1.7871,0
C0018,north,-0.0327,-1.9023,-0.3463,0.744,0
C0018,north,-0.0278,-1.8981,-1.0106,0.1205,0
C0018,north,-0.0248,-1.9126,-0.7795,0.8772,0
C0018,north,-0.0331,-1.9036,-0.1622,-1.0699,0
C0019,west,0.0733,-1.3001,0.5054,2.3128,0
C0019,west,0.0917,-1.2917,0.1504,0.121,0
C0019,west,0.0725,-1.2741,-1.7031,1.0553,0
C0019,west,0.071,-1.2755,-0.3473,-0.6727,0
C0019,west,0.0742,-1.2822,-0.4836,0.488,0
C0020,west,-0.7575,-1.8631,0.0733,0.6992,0
C0020,west,-0.7508,-1.8411,0.196,-0.4571,0
C0020,west,-0.7594,-1.8436,0.3335,-1.3871,0
C0020,west,-0.7404,-1.8481,-1.7274,1.2601,0
C0020,west,-0.7533,-1.8547,-1.0596,0.9311,0
C0021,south,0.4667,-0.2394,0.2717,0.7141,1
C0021,south,0.4483,-0.2315,-0.1227,-0.536,1
C0021,south,0.4499,-0.2344,-0.0672,-0.5655,1
C0021,south,0.4505,-0.224,0.0984,0.8851,1
C0021,south,0.4668,-0.2292,1.9498,-0.8253,1
C0022,north,-0.5312,-1.2706,1.1632,1.7004,0
C0022,north,-0.5588,-1.2771,0.0909,0.7899,0
C0022,north,-0.5319,-1.2682,-0.0974,0.653,0
C0022,north,-0.5401,-1.2572,-2.5405,0.6338,0
C0022,north,-0.5496,-1.2579,-0.7128,-0.8888,0
C0023,central,-0.1392,0.2622,-0.713,-1.5673,1
C0023,central,-0.1432,0.2762,1.0292,-0.1417,1
C0023,central,-0.1324,0.2714,0.0245,0.5736,1
C0023,central,-0.1323,0.2679,-0.1109,-0.1608,1
C0023,central,-0.1421,0.2623,1.0337,-0.4004,1
C0024,south,-1.1036,0.1485,0.3856,0.3916,1
C0024,south,-1.1125,0.177,0.3966,1.7769,1
C0024,south,-1.0987,0.1501,-0.2813,0.4361,1
C0024,south,-1.1076,0.1572,-0.1949,-1.8085,1
C0024,south,-1.1105,0.1346,0.3973,-0.7261,1
C0025,central,-1.2233,-0.1891,0.1706,-1.432,1
C0025,central,-1.2336,-0.1976,-1.9123,-0.9668,1
C0025,central,-1.2002,-0.1975,0.5115,-1.3716,1
C0025,central,-1.2131,-0.1901,-0.1286,0.5688,1
C0025,central,-1.1985,-0.185,0.0372,-0.9734,1
C0026,south,1.3414,-2.5192,-0.2579,-0.0437,0
C0026,south,1.3529,-2.5366,-1.2736,0.8815,0
C0026,south,1.332,-2.5247,-1.246,-1.3799,0
C0026,south,1.3367,-2.4924,0.0238,-1.109,0
C0026,south,1.3268,-2.5208,-0.1027,-0.8215,0
C0027,south,-0.514,-0.5298,0.5627,-0.3738,0
C0027,south,-0.5183,-0.5542,-0.8446,-2.2305,0
C0027,south,-0.4996,-0.545,0.2177,1.8683,0
C0027,south,-0.4954,-0.5502,0.5668,1.1579,0
C0027,south,-0.5146,-0.5482,-0.3142,-1.6014,0
C0028,west,0.3064,-0.0726,-1.0155,-0.2696,0
C0028,west,0.2894,-0.0468,0.2249,-0.2136,0
C0028,west,0.303,-0.0699,-0.0195,-0.7146,0
C0028,west,0.293,-0.0463,-0.84,-0.6409,0
C0028,west,0.2996,-0.045,-0.6316,2.0399,0
C0029,north,-0.0107,0.0987,0.3169,2.509,1
C0029,north,-0.026,0.1155,-0.1419,-0.5412,1
C0029,north,-0.0359,0.1078,0.7157,-0.3982,1
C0029,north,-0.0382,0.1013,0.0007,-0.8941,1
C0029,north,-0.0356,0.1237,0.3747,0.5047,1
C0030,north,-0.4376,-1.5295,-0.7266,-0.3078,0
C0030,north,-0.4336,-1.541,0.5946,0.0341,0
C0030,north,-0.4486,-1.535,-1.2213,0.1602,0
C0030,north,-0.4483,-1.5187,-1.3155,-2.2725,0
C0030,north,-0.4485,-1.5502,-0.6479,1.0592,0
C0031,west,-0.5015,-0.4911,-0.8771,1.7786,0
C0031,west,-0.5048,-0.4777,0.7594,2.4527,0
C0031,west,-0.495,-0.4764,0.1281,0.6171,0
C0031,west,-0.5141,-0.4883,-0.1439,-0.9472,0
C0031,west,-0.5086,-0.4768,1.9158,-0.851,0
C0032,central,0.6289,-0.9802,0.0022,1.0467,0
C0032,central,0.6252,-0.9867,-1.868,-0.9262,0
C0032,central,0.6354,-0.9781,-1.3053,-0.3728,0
C0032,central,0.6304,-0.9735,-0.9255,-0.2504,0
C0032,central,0.6119,-0.99,1.0645,-2.1881,0
C0033,central,-0.3052,-0.8066,-0.6604,-0.8082,0
C0033,central,-0.3025,-0.8089,-0.3974,-1.8777,0
C0033,central,-0.3033,-0.8174,-0.8165,0.227,0
C0033,central,-0.2955,-0.7999,-0.7703,0.924,0
C0033,central,-0.2901,-0.7975,0.9273,-0.1457,0
C0034,north,-0.1532,1.0691,-0.8055,0.2094,1
C0034,north,-0.1567,1.0572,-1.143,-0.8905,1
C0034,north,-0.1516,1.0698,1.3154,-0.0803,1
C0034,north,-0.1533,1.0526,0.7865,-0.2476,1
C0034,north,-0.1454,1.0784,0.3952,-1.4974,1
C0035,north,0.0136,-0.8221,-1.4004,1.3053,0
C0035,north,0.0245,-0.8227,0.2653,1.2604,0
C0035,north,0.0186,-0.8143,-0.6267,0.2846,0
C0035,north,0.0286,-0.7957,0.7682,1.1854,0
C0035,north,0.0358,-0.8009,-1.7008,-0.131,0
C0036,south,1.1796,-0.0364,0.8071,-0.3602,0
C0036,south,1.1673,-0.0181,0.5864,0.2193,0
C0036,south,1.1858,-0.0219,0.2939,-2.4577,0
C0036,south,1.1698,-0.0371,-0.8988,0.1987,0
C0036,south,1.1884,-0.0374,-1.0344,2.028,0
C0037,west,0.676,0.8721,0.5677,0.4257,0
C0037,west,0.6735,0.8923,-0.0848,-0.923,0
C0037,west,0.6823,0.8921,-0.2167,0.3306,0
C0037,west,0.6796,0.9126,-0.2839,1.3842,0
C0037,west,0.68,0.8831,1.0033,0.894,0
C0038,central,0.3953,-0.5803,-0.7738,-0.5376,1
C0038,central,0.3877,-0.5778,1.0248,0.4184,1
C0038,central,0.3932,-0.5684,-0.0851,-1.4856,1
C0038,central,0.3708,-0.598,1.199,-0.8474,1
C0038,central,0.3949,-0.5777,1.3103,1.0031,1
C0039,central,-0.5646,-0.1137,0.032,0.1753,0
C0039,central,-0.5689,-0.112,1.4037,-1.7021,0
C0039,central,-0.561,-0.1208,0.1237,0.8399,0
C0039,central,-0.5641,-0.104,-1.4755,1.107,0
C0039,central,-0.5696,-0.1055,0.1195,-2.5856,0
C0040,south,-1.3895,0.1127,1.4428,0.2873,1
C0040,south,-1.3794,0.0963,1.3322,1.8071,1
C0040,south,-1.3817,0.1083,-1.413,0.8833,1
C0040,south,-1.3549,0.1176,1.1815,0.5421,1
C0040,south,-1.3918,0.1238,-1.0669,-0.2107,1
C0041,central,0.9523,0.0726,0.3999,0.3868,0
C0041,central,0.9419,0.0509,0.0808,-0.7102,0
C0041,central,0.9365,0.0511,-0.4156,-1.8526,0
C0041,central,0.9361,0.0474,0.1895,0.408,0
C0041,central,0.9696,0.0488,-0.5861,0.9126,0
C0042,south,0.9643,-1.2283,1.0482,-0.3384,0
C0042,south,0.9549,-1.2382,-0.1879,0.3052,0
C0042,south,0.9527,-1.2349,-0.0088,0.5773,0
C0042,south,0.96,-1.2188,0.0246,-1.7831,0
C0042,south,0.9633,-1.2209,-1.0058,-2.1389,0
C0043,north,-0.1435,0.0837,1.4528,-2.1908,1
C0043,north,-0.1146,0.0649,0.8917,1.2342,1
C0043,north,-0.1309,0.0776,-1.0148,0.6266,1
C0043,north,-0.1479,0.0509,2.5765,0.7081,1
C0043,north,-0.1225,0.067,1.3512,1.5899,1
C0044,east,0.5574,1.3586,-0.5387,-0.1773,1
C0044,east,0.5199,1.3418,0.6263,-0.9914,1
C0044,east,0.5402,1.3577,2.2812,1.2976,1
C0044,east,0.5414,1.3709,-0.1582,-0.3369,1
C0044,east,0.551,1.3464,0.2924,-1.3208,1
C0045,north,0.7826,-1.5308,-1.2957,0.2259,1
C0045,north,0.7725,-1.5586,-1.7311,1.4548,1
C0045,north,0.8051,-1.5423,-1.2635,0.7049,1
C0045,north,0.7781,-1.5391,-0.357,0.2797,1
C0045,north,0.7875,-1.5529,-0.9828,-1.7212,1
C0046,west,0.8268,0.8452,0.2135,-0.9576,0
C0046,west,0.8322,0.8639,-0.9344,-0.8133,0
C0046,west,0.8218,0.8668,1.8795,0.8515,0
C0046,west,0.8277,0.874,-1.0189,1.4994,0
C0046,west,0.8246,0.8316,2.7295,1.578,0
C0047,central,0.9111,0.121,-0.1453,0.1022,1
C0047,central,0.9066,0.1125,0.4689,0.2227,1
C0047,central,0.9334,0.1202,2.162,-0.7157,1
C0047,central,0.924,0.1002,-1.0801,1.3285,1
C0047,central,0.912,0.1247,-0.0079,-1.0445,1
C0048,north,-0.4591,-0.6466,-0.6952,0.7536,0
C0048,north,-0.4491,-0.6472,-1.073,0.2823,0
C0048,north,-0.4566,-0.6312,2.1332,0.8429,0
C0048,north,-0.456,-0.6432,-1.0276,-0.9067,0
C0048,north,-0.4657,-0.6454,-0.641,0.7437,0
C0049,north,1.511,1.9984,-0.2963,1.6446,1
C0049,north,1.52,2.0183,1.5174,1.4896,1
C0049,north,1.5125,2.0076,3.2351,-1.2235,1
C0049,north,1.5267,2.0174,1.1792,0.7652,1
C0049,north,1.5278,1.9937,1.1758,-0.888,1
C0050,north,-1.2535,0.7559,0.1733,0.1498,1
C0050,north,-1.242,0.7478,2.129,1.1835,1
C0050,north,-1.2392,0.7586,0.2227,0.5612,1
C0050,north,-1.2424,0.745,0.9883,2.9882,1
C0050,north,-1.2655,0.7725,0.6456,-0.1144,1
C0051,north,0.8758,-1.2114,-0.3293,1.502,0
C0051,north,0.8597,-1.2036,-0.3735,-0.4568,0
C0051,north,0.8776,-1.2086,0.3275,-1.2867,0
C0051,north,0.8686,-1.2004,-2.8694,-0.0061,0
C0051,north,0.8508,-1.2039,0.9437,-1.1486,0
C0052,east,0.483,0.0893,0.1371,1.5847,1
C0052,east,0.4973,0.0654,-0.0315,1.2641,1
C0052,east,0.5036,0.0745,0.0749,-0.1157,1
C0052,east,0.488,0.0944,0.0365,-1.1629,1
C0052,east,0.489,0.082,0.6234,-0.141,1
C0053,east,0.8667,0.5769,-1.3179,-1.3384,1
C0053,east,0.8818,0.5718,0.5776,1.2526,1
C0053,east,0.8803,0.5769,2.1999,0.6865,1
C0053,east,0.87,0.5842,0.6081,-0.88,1
C0053,east,0.8744,0.575,-1.5887,-0.1773,1
C0054,central,1.8761,-0.1933,-1.5975,-0.3647,0
C0054,central,1.8786,-0.1877,-1.1261,0.6502,0
C0054,central,1.8665,-0.1911,1.132,-0.7118,0
C0054,central,1.8738,-0.1777,-0.4308,-0.3053,0
C0054,central,1.8813,-0.178,-2.1137,-0.8512,0
C0055,east,1.4741,0.6718,-0.5168,-0.8615,0
C0055,east,1.4875,0.6738,0.3862,0.4114,0
C0055,east,1.477,0.6842,1.7829,0.3301,0
C0055,east,1.4779,0.6822,-0.571,0.2771,0
C0055,east,1.4933,0.6745,0.0806,1.1373,0
C0056,central,-1.1503,-0.0646,-0.9681,-0.8368,1
C0056,central,-1.1504,-0.0448,-0.3948,-0.53,1
C0056,central,-1.1508,-0.0682,0.5637,0.1895,1
C0056,central,-1.1246,-0.0644,1.2761,0.2767,1
C0056,central,-1.1391,-0.081,-0.141,-0.0689,1
C0057,west,-1.6911,0.6457,1.0595,-0.3872,1
C0057,west,-1.6931,0.6647,0.0616,0.4071,1
C0057,west,-1.7014,0.6579,0.5285,0.1456,1
C0057,west,-1.6924,0.6615,-0.4841,-0.0584,1
C0057,west,-1.6769,0.6567,1.6379,0.844,1
C0058,central,0.8124,1.4464,-0.7439,-1.7316,1
C0058,central,0.804,1.4344,0.2825,-0.5151,1
C0058,central,0.8179,1.4172,1.0212,-1.4193,1
C0058,central,0.8103,1.4344,-0.4652,-1.371,1
C0058,central,0.8068,1.4384,1.1064,0.5642,1
C0059,north,-1.025,-0.6836,-1.0988,0.4498,0
C0059,north,-1.0354,-0.6633,-0.7066,-0.7835,0
C0059,north,-1.0116,-0.6653,0.0381,1.0527,0
C0059,north,-1.0137,-0.6634,0.8504,-0.0995,0
C0059,north,-1.0006,-0.674,-0.1921,-0.9215,0
C0060,east,-0.0153,0.2109,-1.1001,0.6496,1
C0060,east,-0.0089,0.2059,-1.9046,-0.1032,1
C0060,east,-0.0059,0.1955,0.1625,-2.3781,1
C0060,east,-0.0057,0.1965,0.8655,-1.8428,1
C0060,east,-0.0055,0.2008,0.8081,-0.9257,1
C0061,central,0.8335,-0.4409,-0.9323,-0.706,0
C0061,central,0.837,-0.4735,0.8861,1.725,0
C0061,central,0.8327,-0.4806,0.8695,1.1084,0
C0061,central,0.8479,-0.4517,-0.9661,-0.1685,0
C0061,central,0.8259,-0.4775,0.6977,-0.6719,0
C0062,west,-1.621,0.128,-0.5255,0.7979,1
C0062,west,-1.6258,0.1321,-1.0445,0.371,1
C0062,west,-1.63,0.1223,-0.6454,1.0164,1
C0062,west,-1.6424,0.1162,-0.2909,-0.7557,1
C0062,west,-1.6408,0.1284,1.0863,0.7097,1
C0063,south,-2.1256,-1.1831,0.3324,0.4559,1
C0063,south,-2.0997,-1.1927,-1.3306,0.9301,1
C0063,south,-2.1206,-1.2088,0.4479,-0.7242,1
C0063,south,-2.113,-1.2012,-1.6679,-1.1566,1
C0063,south,-2.1136,-1.1835,-2.5429,0.7522,1
C0064,central,0.2475,-0.59,0.3783,-0.0746,0
C0064,central,0.2439,-0.5609,-1.0063,0.2473,0
C0064,central,0.2613,-0.5652,-0.6418,1.0081,0
C0064,central,0.2519,-0.5681,-0.9184,-0.3622,0
C0064,central,0.2783,-0.5761,-0.1329,2.242,0
C0065,west,0.048,-0.2044,0.5827,-1.1817,1
C0065,west,0.0557,-0.1841,-0.5941,-0.6279,1
C0065,west,0.0462,-0.1961,-0.9584,0.5681,1
C0065,west,0.024,-0.2005,-0.442,-0.2733,1
C0065,west,0.0475,-0.2085,0.4512,-0.1802,1
C0066,north,-0.2523,0.8851,-0.7053,0.3603,1
C0066,north,-0.2554,0.8994,1.3153,1.0326,1
C0066,north,-0.2302,0.8958,-0.6171,1.0205,1
C0066,north,-0.2427,0.91,0.3695,1.1956,1
C0066,north,-0.2373,0.9059,0.8127,0.3977,1
C0067,north,0.0409,1.1475,1.3493,-0.512,1
C0067,north,0.0559,1.1442,1.3449,-0.0902,1
C0067,north,0.0361,1.1655,0.1797,-1.2772,1
C0067,north,0.0314,1.142,2.3978,0.2068,1
C0067,north,0.0479,1.1352,0.7754,0.6715,1
C0068,south,-0.8425,-1.3305,0.0137,0.3026,0
C0068,south,-0.8707,-1.3237,-0.7665,-2.3254,0
C0068,south,-0.8545,-1.3181,-0.9245,-1.3386,0
C0068,south,-0.8457,-1.3209,0.3856,1.4103,0
C0068,south,-0.8657,-1.3154,-0.7464,-0.0625,0
C0069,east,-1.5144,-0.7947,0.6847,0.1238,0
C0069,east,-1.515,-0.7974,-0.0107,-0.8949,0
C0069,east,-1.5185,-0.7952,-0.8271,-0.1185,0
C0069,east,-1.5196,-0.7746,0.8783,0.45,0
C0069,east,-1.514,-0.7727,-0.0272,-0.0868,0
C0070,north,-0.1636,0.65,1.528,-0.019,0
C0070,north,-0.1457,0.6381,0.8834,-1.0018,0
C0070,north,-0.1485,0.6436,0.2064,0.9242,0
C0070,north,-0.1541,0.6358,-0.0528,-1.3949,0
C0070,north,-0.1653,0.6459,-0.0553,-0.6845,0
C0071,north,-0.9756,-1.9999,-0.3209,1.516,0
C0071,north,-0.991,-1.9936,-1.1733,0.4924,0
C0071,north,-0.9812,-1.9939,-1.7326,0.6967,0
C0071,north,-0.9707,-1.994,-0.4638,-0.2465,0
C0071,north,-0.9872,-1.9865,-0.5375,-0.1541,0
C0072,north,-1.6336,-0.451,-1.1683,-0.7811,0
C0072,north,-1.628,-0.449,-0.8498,-1.1807,0
C0072,north,-1.6499,-0.4682,-1.6109,0.0312,0
C0072,north,-1.6563,-0.4753,0.6392,-0.6832,0
C0072,north,-1.6442,-0.4569,0.5466,-0.337,0
C0073,south,0.5061,-0.1055,1.5337,0.6499,0
C0073,south,0.4946,-0.0972,0.6033,0.4794,0
C0073,south,0.524,-0.0836,-0.5243,-0.0892,0
C0073,south,0.4929,-0.0948,0.097,2.7035,0
C0073,south,0.5067,-0.1182,-0.6438,0.1123,0
C0074,south,-0.074,1.2483,0.1737,0.3418,1
C0074,south,-0.0631,1.2481,1.2117,-0.5396,1
C0074,south,-0.0664,1.2432,-0.2046,0.6518,1
C0074,south,-0.0776,1.2563,1.1488,-0.3771,1
C0074,south,-0.059,1.2458,1.6821,1.1011,1
C0075,south,0.4089,0.6719,-0.6656,0.9767,1
C0075,south,0.4237,0.6924,1.3983,-0.6078,1
C0075,south,0.4046,0.6894,0.6565,-1.5288,1
C0075,south,0.4159,0.7026,-0.7581,-1.3553,1
C0075,south,0.41,0.6829,-1.858,0.8086,1
C0076,east,-0.9877,-0.332,1.7712,0.1389,1
C0076,east,-0.9968,-0.3262,-1.0669,-0.7617,1
C0076,east,-0.9854,-0.3328,-0.5368,1.6689,1
C0076,east,-0.9807,-0.3192,0.345,0.4842,1
C0076,east,-0.9747,-0.3274,1.5391,-0.9514,1
C0077,west,-0.6606,-0.3824,-0.4568,0.5184,0
C0077,west,-0.6435,-0.3752,-0.1427,-0.3592,0
C0077,west,-0.6654,-0.3805,-0.0928,-1.7321,0
C0077,west,-0.657,-0.3684,-0.7394,-1.0109,0
C0077,west,-0.6719,-0.3499,-1.3552,1.5577,0
C0078,south,-0.993,-0.2538,-1.1414,1.0425,1
C0078,south,-0.9817,-0.2595,-0.3689,1.0516,1
C0078,south,-0.9957,-0.2302,-0.6132,0.5423,1
C0078,south,-1.0116,-0.2292,-0.7574,-2.208,1
C0078,south,-1.0003,-0.2516,1.6239,-0.3388,1
C0079,east,-0.8868,1.5295,2.0371,-0.0632,1
C0079,east,-0.8762,1.5287,0.3428,0.0776,1
C0079,east,-0.8864,1.5144,1.7017,-1.3856,1
C0079,east,-0.8749,1.5331,0.5257,-0.7654,1
C0079,east,-0.8889,1.5283,1.2782,0.2869,1
C0080,west,0.2053,-0.4336,0.0399,-1.5683,1
C0080,west,0.203,-0.4265,-0.5452,1.1615,1
C0080,west,0.2023,-0.4562,-0.1353,-1.455,1
C0080,west,0.2061,-0.4031,-0.6379,0.0746,1
C0080,west,0.1929,-0.4245,0.4089,1.2872,1
C0081,north,-0.7928,-0.288,-0.9598,0.2771,0
C0081,north,-0.7714,-0.2965,-0.9662,-0.7019,0
C0081,north,-0.7876,-0.3042,0.9108,-1.2918,0
C0081,north,-0.7783,-0.2976,0.381,0.4663,0
C0081,north,-0.7678,-0.2988,0.6498,0.5635,0
C0082,central,0.374,0.3336,1.2949,-0.261,0
C0082,central,0.3533,0.3429,-1.5408,-0.3819,0
C0082,central,0.3492,0.3575,-1.184,1.4316,0
C0082,central,0.3588,0.3501,-0.4974,-0.7872,0
C0082,central,0.3448,0.3471,0.1465,-0.1774,0
C0083,central,0.3256,-0.1234,-0.8522,0.1599,0
C0083,central,0.3584,-0.1145,-0.3301,-1.6249,0
C0083,central,0.3256,-0.1376,0.6051,-0.7651,0
C0083,central,0.3404,-0.127,0.0338,1.4017,0
C0083,central,0.3329,-0.1242,-0.774,0.8746,0
C0084,south,2.0149,-0.2086,-1.3278,-1.4085,1
C0084,south,2.0299,-0.1716,-0.9748,0.9515,1
C0084,south,2.0277,-0.2083,-0.3279,-0.2329,1
C0084,south,2.0183,-0.178,-1.7944,0.381,1
C0084,south,2.0285,-0.2031,0.0556,0.8776,1
C0085,central,-1.3913,-1.1099,0.178,-2.0321,0
C0085,central,-1.378,-1.0913,0.4371,1.0137,0
C0085,central,-1.4069,-1.1153,-1.1765,-0.5872,0
C0085,central,-1.3831,-1.1221,-0.5627,-1.9086,0
C0085,central,-1.3944,-1.1132,-1.0799,-0.7199,0
C0086,south,0.9068,-0.0236,-0.9502,-0.809,1
C0086,south,0.8999,0.0095,0.2943,-0.7173,1
C0086,south,0.8836,-0.0009,-0.8246,1.4529,1
C0086,south,0.9021,-0.0108,0.5769,0.7497,1
C0086,south,0.9034,-0.022,1.0585,-0.3752,1
C0087,central,-0.0972,-0.4426,-0.3703,-0.9875,0
C0087,central,-0.1055,-0.453,1.1297,1.9626,0
C0087,central,-0.083,-0.4317,-0.6426,-0.0772,0
C0087,central,-0.0867,-0.4544,-1.0684,0.0972,0
C0087,central,-0.0927,-0.4542,0.1704,-0.2633,0
C0088,west,-0.0038,1.1661,0.1962,0.1277,0
C0088,west,-0.0157,1.1594,0.1047,0.7494,0
C0088,west,-0.0076,1.179,-1.0572,-0.3931,0
C0088,west,-0.0182,1.1678,0.0595,-0.5132,0
C0088,west,-0.0062,1.1679,-0.5833,1.3345,0
C0089,south,-1.4399,0.6473,1.0094,-0.7352,1
C0089,south,-1.4386,0.6509,-0.4613,-0.3731,1
C0089,south,-1.4575,0.655,0.4188,0.0358,1
C0089,south,-1.4554,0.6165,0.3448,-1.8962,1
C0089,south,-1.4474,0.6644,0.5077,-0.3894,1
C0090,north,-0.462,-0.0255,-0.504,-0.5838,0
C0090,north,-0.4694,-0.0123,-0.0237,0.9563,0
C0090,north,-0.4627,-0.0234,-0.163,0.4628,0
C0090,north,-0.4519,-0.0217,-0.6161,-0.78,0
C0090,north,-0.4436,-0.0269,-0.2716,1.465,0
C0091,south,0.7541,0.6737,-0.0921,2.3532,1
C0091,south,0.7471,0.6739,0.1134,-1.4143,1
C0091,south,0.7298,0.6725,0.62,-0.24,1
C0091,south,0.7315,0.654,-0.0277,-1.4561,1
C0091,south,0.7522,0.6799,2.8135,0.8783,1
C0092,west,-0.0884,-0.3486,-3.2425,-0.5949,1
C0092,west,-0.0842,-0.3302,0.4145,0.5883,1
C0092,west,-0.0803,-0.3333,1.1669,-1.0649,1
C0092,west,-0.0871,-0.3538,1.3208,1.2969,1
C0092,west,-0.075,-0.3519,0.0197,-0.2346,1
C0093,south,0.0819,1.0502,0.8888,-0.3948,0
C0093,south,0.0896,1.0545,0.1571,-0.1119,0
