age,income,city,churned
74,54086.27,Bangalore,0
76,28478.33,Delhi,1
20,230672.2,Delhi,0
54,5967.3,Mumbai,1
69,8676.4,Bangalore,0
66,38274.13,Bangalore,1
43,12353.84,Pune,1
71,13389.06,Bangalore,1
69,79351.43,Pune,0
25,2099.7,Pune,0
18,3475.11,Bangalore,0
24,4499.97,Pune,1
40,606.22,Mumbai,0
24,88238.11,Delhi,1
22,21930.57,Mumbai,1
34,15253.39,Pune,1
58,51170.08,Bangalore,0
50,98637.37,Pune,0
34,21262.05,Pune,1
76,9514.97,Bangalore,0
61,180967.29,Pune,0
57,12926.72,Bangalore,1
76,88936.44,Delhi,0
66,29366.52,Delhi,0
25,6826.36,Mumbai,1
20,17441.08,Pune,1
71,161806.69,Delhi,0
43,42993.25,Pune,1
21,66858.27,Delhi,1
47,10693.6,Bangalore,1
41,13124.1,Delhi,1
44,7431.83,Mumbai,1
44,10740.68,Bangalore,0
37,60314.2,Pune,0
48,26152.37,Bangalore,0
48,36503.31,Mumbai,1
78,65321.69,Mumbai,0
60,14853.91,Delhi,1
66,35420.86,Delhi,1
18,29333.64,Mumbai,1
37,11083.8,Mumbai,1
78,2749.97,Mumbai,0
34,40458.83,Delhi,0
49,22760.49,Bangalore,1
71,35660.4,Delhi,0
57,6872.73,Bangalore,1
72,2687.09,Mumbai,1
28,330277.13,Mumbai,0
49,16231.95,Pune,1
57,21871.69,Bangalore,1
39,61223.45,Pune,1
53,11848.33,Mumbai,1
79,2892.08,Pune,0
63,39900.78,Bangalore,1
37,24528.92,Bangalore,0
21,47565.3,Mumbai,1
29,16773.87,Mumbai,1
34,8509.92,Delhi,1
72,8282.66,Bangalore,0
34,7072.13,Pune,1
68,39780.46,Delhi,1
34,39839.19,Delhi,1
59,180412.56,Mumbai,0
50,183512.03,Mumbai,0
77,4762.01,Bangalore,1
53,3803.79,Bangalore,1
75,21274.67,Bangalore,1
77,1739.36,Delhi,1
64,29284.92,Delhi,0
56,65032.38,Pune,0
71,5533.61,Pune,0
79,15836.75,Bangalore,0
33,2021.33,Mumbai,1
52,17153.64,Pune,0
26,109370.91,Mumbai,0
24,119606.18,Bangalore,0
59,23073.18,Bangalore,1
20,166060.17,Pune,0
62,55510.59,Delhi,0
68,21446.96,Pune,0
28,7998.75,Delhi,1
60,147573.61,Mumbai,0
42,8417.95,Bangalore,1
73,50345.75,Mumbai,0
74,50561.43,Mumbai,1
53,6736.49,Mumbai,1
52,6704.41,Bangalore,0
62,64373.28,Pune,0
53,19431.22,Pune,1
64,5284.6,Delhi,1
30,33308.13,Delhi,1
66,3627.0,Bangalore,0
50,46586.86,Bangalore,1
64,10122.26,Pune,1
50,45359.0,Pune,0
37,71935.32,Pune,0
23,49076.56,Delhi,1
50,32483.76,Mumbai,1
78,113005.72,Mumbai,1
20,129761.28,Mumbai,1
53,7427.54,Bangalore,0
45,24254.06,Mumbai,1
18,29322.46,Delhi,1
51,8935.25,Mumbai,0
65,338.76,Pune,1
63,2667.05,Delhi,1
78,10213.98,Delhi,0
50,1759.59,Bangalore,0
54,18049.82,Delhi,1
77,46417.93,Mumbai,0
37,60221.0,Delhi,0
67,12965.78,Mumbai,0
29,135645.7,Pune,1
40,31058.48,Bangalore,0
59,85065.44,Bangalore,0
53,23476.93,Bangalore,0
30,44979.52,Pune,0
58,6004.08,Pune,0
53,597.88,Bangalore,0
75,115312.16,Mumbai,0
55,9412.73,Bangalore,1
72,23575.38,Delhi,0
77,102992.56,Bangalore,0
23,86363.68,Mumbai,0
22,11121.79,Delhi,1
49,105966.44,Pune,0
48,5762.31,Mumbai,1
52,9017.51,Delhi,1
64,25739.87,Pune,0
37,16403.91,Bangalore,1
28,17121.32,Delhi,1
60,21901.78,Pune,0
42,38417.97,Delhi,0
75,331.41,Bangalore,0
21,346507.14,Pune,0
61,16986.32,Delhi,1
63,4396.7,Bangalore,0
34,91922.77,Mumbai,0
23,24625.59,Delhi,1
37,148787.1,Bangalore,0
42,21289.09,Pune,1
78,20396.3,Mumbai,1
72,2095.24,Bangalore,0
32,7940.13,Bangalore,1
47,31031.25,Bangalore,1
55,99850.73,Bangalore,1
74,17732.75,Bangalore,0
26,56477.12,Pune,0
65,75031.07,Delhi,0
75,16321.17,Delhi,0
74,116863.1,Bangalore,1
35,19521.9,Bangalore,1
25,7591.71,Mumbai,1
54,8824.17,Mumbai,1
22,2516.12,Delhi,1
26,105087.99,Pune,0
22,2264.03,Pune,1
31,354.26,Delhi,1
71,32209.03,Mumbai,0
59,30815.47,Delhi,0
57,105115.82,Delhi,0
79,179913.78,Mumbai,0
48,13378.51,Delhi,1
20,14120.61,Mumbai,1
28,7950.06,Bangalore,1
34,32498.09,Pune,1
59,5772.27,Mumbai,1
40,113971.03,Pune,1
37,118689.98,Delhi,0
24,83499.97,Mumbai,1
62,310.85,Delhi,0
19,23606.9,Mumbai,1
46,8121.96,Bangalore,0
64,29245.18,Bangalore,1
49,14341.46,Delhi,1
60,31138.46,Mumbai,1
66,9422.31,Bangalore,1
31,24208.21,Bangalore,1
23,10105.86,Pune,0
21,4523.86,Bangalore,1
53,2062.32,Pune,1
34,42838.39,Mumbai,0
30,60985.81,Delhi,1
63,51796.65,Pune,0
68,61046.81,Mumbai,0
77,144051.83,Pune,0
48,52131.19,Bangalore,0
50,67204.44,Delhi,1
79,39277.46,Pune,1
49,4024.81,Bangalore,1
29,26506.37,Delhi,1
33,3849.72,Bangalore,1
77,21914.94,Mumbai,0
20,186359.86,Pune,0
67,5394.39,Bangalore,0
58,1103.89,Delhi,1
47,30495.31,Mumbai,0
69,66998.9,Bangalore,0
68,214357.07,Delhi,0
45,36060.16,Delhi,1
55,35063.36,Delhi,1
65,38089.49,Delhi,1
58,95317.44,Delhi,0
48,101773.21,Pune,1
74,44876.44,Mumbai,1
72,10830.89,Pune,1
22,143512.55,Mumbai,0
51,36768.45,Mumbai,0
69,14784.66,Mumbai,1
23,99697.89,Pune,1
41,51148.11,Bangalore,0
49,5164.82,Mumbai,0
38,33935.91,Delhi,1
61,12929.27,Bangalore,0
79,10167.53,Pune,0
40,45009.35,Pune,1
66,2407.58,Pune,0
25,23587.14,Delhi,1
48,11452.99,Pune,1
18,5446.43,Bangalore,0
44,105203.95,Delhi,1
18,39111.72,Mumbai,0
72,26532.23,Delhi,0
78,42340.78,Pune,0
23,21402.62,Delhi,0
68,94355.91,Bangalore,0
61,42950.64,Mumbai,0
36,3747.74,Pune,1
66,56335.61,Pune,0
77,3198.22,Mumbai,1
67,5731.16,Mumbai,1
60,38797.04,Delhi,1
37,16934.43,Mumbai,1
55,44288.47,Delhi,0
67,34235.38,Delhi,0
62,9016.43,Delhi,0
31,183438.87,Bangalore,0
43,105251.24,Pune,0
40,3785.64,Mumbai,1
61,19654.09,Bangalore,0
43,33803.12,Delhi,0
44,7874.85,Pune,1
51,1989.77,Bangalore,1
53,37082.55,Delhi,1
24,8995.6,Mumbai,1
75,22005.22,Delhi,1
43,69816.33,Delhi,0
28,44600.27,Pune,1
18,39380.45,Bangalore,1
44,141866.52,Bangalore,0
64,13080.84,Mumbai,0
36,29467.52,Bangalore,1
70,19492.12,Delhi,1
30,13880.71,Bangalore,1
26,49571.16,Delhi,1
42,7798.03,Mumbai,1
61,16969.04,Delhi,1
36,37428.18,Mumbai,1
68,28419.88,Pune,1
19,59003.79,Bangalore,1
78,8016.44,Bangalore,0
20,4867.45,Bangalore,1
70,51549.27,Delhi,0
18,8322.4,Bangalore,1
44,36503.68,Pune,0
37,38157.8,Mumbai,0
78,74372.21,Bangalore,0
58,41873.58,Mumbai,0
78,24849.35,Delhi,1
43,6831.2,Bangalore,1
49,349.87,Pune,0
49,61185.13,Bangalore,0
64,7139.64,Pune,1
49,114710.28,Mumbai,0
74,122871.57,Delhi,0
29,15983.26,Pune,1
47,875.11,Delhi,0
33,35381.87,Bangalore,0
71,52919.05,Delhi,0
26,51384.37,Pune,1
61,3015.03,Pune,1
74,24248.35,Mumbai,0
36,35824.8,Bangalore,1
35,73250.63,Pune,0
65,333028.87,Delhi,0
54,6119.86,Bangalore,1
53,49918.34,Mumbai,0
72,59966.15,Mumbai,0
23,17722.06,Bangalore,0
34,41227.12,Mumbai,1
42,7027.39,Bangalore,0
74,5215.31,Delhi,1
22,35630.21,Bangalore,1
46,23932.79,Pune,1
47,34591.1,Delhi,1
18,93247.12,Mumbai,1
44,4867.81,Bangalore,1
58,8095.79,Pune,0
44,44815.97,Mumbai,1
36,55906.51,Pune,1
54,1563.0,Delhi,0
78,75408.5,Delhi,0
25,163576.65,Mumbai,1
35,36888.01,Pune,0
75,42550.41,Mumbai,0
36,15262.08,Bangalore,1
60,39902.35,Bangalore,1
39,14736.66,Bangalore,1
69,14274.3,Bangalore,0
54,17811.28,Delhi,1
73,60729.96,Bangalore,1
57,33599.08,Delhi,0
54,103262.18,Delhi,0
48,152582.16,Bangalore,0
20,28744.04,Delhi,0
25,172960.81,Pune,0
62,166012.02,Delhi,0
57,104141.0,Pune,1
53,30667.95,Bangalore,0
25,45951.24,Mumbai,1
69,41664.74,Delhi,1
67,35178.69,Delhi,0
50,38722.88,Mumbai,1
33,15607.27,Delhi,1
68,14690.69,Pune,0
50,32489.88,Delhi,1
79,55209.18,Bangalore,0
35,127567.74,Bangalore,0
39,929.98,Bangalore,1
67,48839.62,Mumbai,1
28,28592.55,Bangalore,1
37,2618.04,Bangalore,1
42,24422.52,Pune,1
63,4130.85,Mumbai,1
64,11261.47,Bangalore,0
66,144267.84,Bangalore,0
45,97909.29,Delhi,0
56,28613.6,Pune,0
54,139997.52,Delhi,0
65,40810.02,Pune,0
25,80537.36,Delhi,0
37,52977.3,Delhi,1
63,101306.44,Pune,0
30,19636.46,Delhi,0
35,68213.54,Pune,1
78,144269.49,Delhi,0
29,113273.74,Bangalore,1
79,104513.93,Mumbai,0
71,102188.61,Pune,1
27,41529.6,Pune,1
52,19555.73,Pune,0
38,22988.79,Pune,1
48,17774.96,Pune,1
55,59565.93,Mumbai,1
73,177832.71,Bangalore,0
75,223109.38,Delhi,0
23,89283.72,Delhi,1
29,18133.36,Mumbai,1
61,20905.6,Delhi,1
30,49100.96,Pune,0
38,22718.91,Delhi,1
54,97183.37,Pune,1
28,59777.17,Delhi,1
79,34833.39,Pune,1
59,66790.56,Mumbai,0
32,14510.03,Pune,1
40,212580.74,Pune,0
58,91889.04,Pune,0
38,8408.18,Pune,1
56,50585.26,Pune,1
76,90769.27,Delhi,0
40,43276.71,Bangalore,0
30,201526.51,Pune,0
35,77.72,Pune,1
49,27965.23,Pune,1
52,84104.26,Mumbai,0
19,74692.43,Bangalore,0
57,18832.07,Pune,0
28,34292.23,Delhi,1
57,68735.87,Mumbai,0
72,26351.2,Mumbai,1
29,50880.01,Bangalore,1
66,98959.06,Mumbai,1
20,17519.39,Mumbai,1
52,75131.0,Mumbai,1
59,21758.8,Mumbai,0
31,133697.65,Mumbai,0
66,51754.63,Pune,1
52,43294.47,Pune,0
43,8624.58,Bangalore,0
18,4211.82,Pune,1
26,39448.23,Mumbai,0
62,130302.5,Delhi,0
43,16694.29,Pune,1
62,4448.93,Pune,0
77,74539.98,Delhi,0
58,12072.32,Bangalore,1
63,57548.86,Bangalore,0
55,21098.02,Bangalore,0
36,23253.96,Delhi,1
22,14620.19,Delhi,0
56,19260.04,Pune,1
33,7532.13,Mumbai,1
25,5392.66,Bangalore,1
53,11161.65,Delhi,1
55,2231.39,Mumbai,1
42,20517.85,Mumbai,0
57,202025.95,Mumbai,0
79,18290.86,Delhi,0
65,16576.49,Pune,1
75,12008.08,Delhi,0
22,39521.29,Delhi,1
27,59920.49,Bangalore,1
40,44425.02,Pune,0
54,4512.59,Pune,1
61,9956.76,Delhi,0
61,142818.8,Mumbai,0
74,69981.43,Pune,0
26,15998.58,Pune,1
28,35895.93,Mumbai,1
37,35533.38,Mumbai,1
28,7454.61,Mumbai,1
62,20061.81,Mumbai,0
43,82437.18,Mumbai,1
73,54526.67,Bangalore,0
35,22868.8,Delhi,1
39,17406.93,Bangalore,0
36,111349.19,Delhi,1
32,17820.22,Delhi,1
70,20130.77,Pune,0
68,13629.2,Pune,1
36,30520.05,Pune,1
54,52604.87,Pune,1
72,135189.54,Mumbai,0
47,37750.57,Delhi,1
73,152518.0,Mumbai,0
33,93220.37,Bangalore,0
32,9800.27,Bangalore,0
22,64121.55,Mumbai,1
57,54291.23,Mumbai,0
19,37208.1,Delhi,1
29,50190.48,Bangalore,1
53,31089.99,Mumbai,0
45,6675.86,Delhi,0
29,50577.29,Mumbai,0
49,9411.57,Pune,0
78,84795.94,Delhi,0
78,9787.68,Pune,0
24,1381.71,Pune,1
64,11618.58,Bangalore,1
46,48513.68,Bangalore,1
46,258320.97,Mumbai,0
42,20384.12,Mumbai,1
69,31051.65,Pune,1
32,16524.34,Mumbai,0
54,2006.65,Bangalore,0
64,33796.67,Bangalore,0
43,47081.76,Delhi,0
57,87171.34,Pune,0
25,131774.19,Bangalore,1
62,31843.26,Bangalore,0
36,118722.75,Delhi,0
23,54068.0,Pune,1
36,71019.21,Bangalore,0
39,124187.89,Pune,0
57,49598.05,Bangalore,1
50,7674.63,Pune,1
69,7713.25,Pune,0
44,8180.21,Bangalore,1
72,5778.78,Delhi,1
20,131367.28,Pune,0
38,49270.19,Pune,1
30,70018.21,Delhi,1
41,39790.89,Mumbai,1
76,1189.25,Pune,1
26,45635.19,Pune,1
28,11420.25,Delhi,1
43,32043.47,Bangalore,1
70,21601.57,Bangalore,1
18,72926.64,Bangalore,0
68,128858.59,Bangalore,0
66,30202.53,Bangalore,0
42,2487.89,Mumbai,1
20,59195.73,Mumbai,1
46,11210.49,Mumbai,1
61,31308.98,Bangalore,0
69,56310.3,Pune,0
27,55757.95,Mumbai,0
60,25865.52,Mumbai,1
52,11377.25,Mumbai,1
69,20553.9,Mumbai,0
62,57487.4,Bangalore,0
64,51751.27,Bangalore,0
71,91141.62,Delhi,0
60,18951.81,Bangalore,1
42,135561.24,Bangalore,1
74,22203.6,Delhi,1
52,57566.16,Pune,0
69,29084.36,Mumbai,0
24,153584.76,Mumbai,0
29,53125.27,Bangalore,0
51,4923.26,Mumbai,0
64,21451.2,Pune,0
76,272847.94,Bangalore,0
23,1430.01,Pune,1
71,3031.28,Pune,0
44,21284.43,Delhi,0
76,5680.86,Bangalore,1
42,96586.72,Bangalore,1
75,32170.12,Delhi,0
30,26906.32,Delhi,1
39,27020.06,Bangalore,1
76,23471.37,Mumbai,1
79,43496.43,Pune,0
23,4115.65,Delhi,1
27,74696.0,Pune,1
18,2631.38,Pune,1
75,46988.13,Mumbai,0
38,7174.41,Mumbai,1
50,9565.06,Delhi,1
79,17999.58,Bangalore,0
70,35323.81,Bangalore,1
34,93032.93,Pune,0
41,49026.45,Pune,0
69,125060.43,Delhi,0
48,45738.77,Pune,0
28,27670.37,Mumbai,1
76,31091.59,Bangalore,0
54,11704.62,Mumbai,1
66,2562.33,Delhi,1
77,16879.93,Pune,0
55,108955.15,Mumbai,0
62,24500.25,Bangalore,1
71,11720.94,Mumbai,1
78,4231.11,Delhi,0
51,49939.47,Pune,1
53,47694.28,Mumbai,1
59,3811.05,Pune,0
78,32581.85,Mumbai,0
45,33216.17,Delhi,1
69,5086.65,Bangalore,0
35,120734.09,Mumbai,1
66,73260.73,Bangalore,0
24,12845.82,Bangalore,1
73,11639.16,Bangalore,0
39,22535.48,Bangalore,1
57,3254.64,Pune,1
26,8894.62,Bangalore,1
40,5670.54,Pune,0
23,92796.08,Delhi,0
50,45180.72,Mumbai,1
79,88301.25,Mumbai,0
32,8480.54,Bangalore,1
34,24647.04,Pune,1
66,1220.68,Pune,1
29,8309.28,Bangalore,0
28,22276.69,Mumbai,1
31,21611.95,Pune,0
53,18907.95,Mumbai,0
49,109524.77,Mumbai,0
51,4232.1,Bangalore,0
19,38936.65,Bangalore,1
59,165233.82,Delhi,0
37,2141.45,Bangalore,1
65,55726.61,Mumbai,1
69,69475.55,Pune,0
24,9028.29,Mumbai,1
36,13839.69,Mumbai,1
56,169610.47,Pune,0
28,72857.56,Bangalore,0
43,130097.49,Pune,0
39,30817.6,Delhi,1
56,9330.19,Mumbai,1
64,23834.57,Delhi,1
61,17830.68,Bangalore,1
37,51743.21,Pune,0
54,42488.88,Pune,0
67,14498.47,Mumbai,1
63,13713.59,Delhi,1
66,3145.44,Bangalore,1
50,203667.86,Delhi,0
54,21090.0,Pune,0
46,7396.23,Pune,1
55,182004.47,Mumbai,0
35,169453.78,Pune,0
46,52690.04,Bangalore,0
32,7169.67,Pune,1
49,16955.78,Pune,0
61,19288.31,Pune,1
66,7910.22,Mumbai,0
61,21208.85,Delhi,0
28,312014.82,Mumbai,0
30,72498.81,Bangalore,0
41,161851.72,Bangalore,0
78,53940.49,Delhi,1
19,54763.39,Delhi,0
59,7342.23,Delhi,1
36,18931.01,Delhi,1
50,46389.65,Mumbai,1
23,165244.1,Delhi,0
70,150685.06,Pune,0
72,103004.89,Pune,0
48,13774.49,Bangalore,0
66,13133.27,Mumbai,1
47,3655.32,Mumbai,1
63,81101.87,Bangalore,0
34,42551.8,Mumbai,0
37,4021.1,Pune,1
27,13289.86,Bangalore,0
46,26290.19,Mumbai,0
62,24532.57,Bangalore,1
66,14234.51,Bangalore,0
70,212267.02,Mumbai,0
29,20172.08,Mumbai,1
60,7248.83,Delhi,0
34,21736.99,Delhi,1
40,84591.83,Bangalore,0
40,186705.13,Delhi,1
53,8078.9,Delhi,1
54,63084.52,Mumbai,1
52,57089.14,Mumbai,1
22,68654.88,Delhi,1
76,30079.54,Bangalore,1
70,4476.88,Pune,1
42,2297.49,Mumbai,0
53,33356.14,Delhi,0
28,34195.58,Delhi,1
57,31245.67,Bangalore,1
72,20902.21,Bangalore,0
75,12214.12,Delhi,1
73,8799.25,Pune,1
21,49999.2,Pune,0
20,21491.29,Pune,1
63,17929.96,Delhi,1
30,46696.12,Bangalore,1
29,72597.35,Mumbai,0
57,56289.61,Bangalore,1
21,18392.8,Bangalore,0
66,57913.8,Mumbai,1
29,18974.54,Pune,1
55,116300.79,Delhi,0
57,10102.85,Mumbai,0
29,5224.48,Pune,1
42,44841.21,Mumbai,1
25,128429.22,Mumbai,0
78,79277.28,Pune,0
49,30883.06,Mumbai,1
27,47823.31,Pune,0
68,8186.72,Bangalore,0
63,34942.96,Bangalore,1
31,8012.32,Bangalore,0
39,14937.57,Bangalore,1
22,53313.33,Pune,1
52,12372.22,Bangalore,1
52,161775.1,Pune,1
21,20631.72,Mumbai,1
29,12850.26,Mumbai,1
46,13033.04,Bangalore,1
22,65481.2,Bangalore,0
63,229539.2,Delhi,0
65,89993.07,Delhi,0
62,55378.03,Mumbai,0
68,92437.61,Mumbai,0
67,58954.92,Bangalore,0
42,81605.53,Bangalore,1
45,5377.62,Pune,0
36,13689.54,Pune,0
28,47403.26,Delhi,0
35,9078.13,Mumbai,1
62,87820.02,Pune,0
40,71749.35,Mumbai,1
79,35566.92,Pune,1
53,30406.74,Delhi,1
59,16197.61,Bangalore,1
50,129089.75,Delhi,0
67,2821.62,Pune,1
40,47314.27,Pune,0
55,12087.31,Bangalore,1
57,191049.81,Mumbai,0
71,29709.72,Mumbai,0
59,94571.47,Mumbai,0
55,16728.96,Pune,0
52,24852.24,Bangalore,0
21,18532.62,Delhi,1
42,2632.44,Delhi,1
37,23614.05,Bangalore,1
56,42268.8,Delhi,1
37,3162.12,Pune,1
54,12228.77,Bangalore,1
48,123183.85,Bangalore,0
